Year,country_code,country_name,gdp,income_group,region,population,remittance_growth_rate,remittance_paid,remittance_per_capita,remittance_received,remittance_to_gdp_ratio,remittance_volatility,unemployment_rate,unemployment_rate_change
1999,AFG,Afghanistan,0.0,Low income,South Asia,19262847.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.07,-0.0120000000000004
2000,AFG,Afghanistan,0.0,Low income,South Asia,19542982.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.054,-0.016
2001,AFG,Afghanistan,0.0,Low income,South Asia,19688632.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.04,-0.0140000000000011
2002,AFG,Afghanistan,0.0,Low income,South Asia,21000256.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.186,0.1460000000000008
2003,AFG,Afghanistan,0.0,Low income,South Asia,22645130.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.122,-0.064
2004,AFG,Afghanistan,0.0,Low income,South Asia,23553551.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.053,-0.068999999999999
2005,AFG,Afghanistan,0.0,Low income,South Asia,24411191.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.113,0.0599999999999987
2006,AFG,Afghanistan,0.0,Low income,South Asia,25442944.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.054,-0.0589999999999992
2007,AFG,Afghanistan,0.0,Low income,South Asia,25903301.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.108,0.0540000000000002
2008,AFG,Afghanistan,0.873584804,Low income,South Asia,26427199.0,inf,216603835.9,3.3881924433232595,89540435.95,102497703.18806964,293485540.99546325,8.022,-0.0860000000000003
2009,AFG,Afghanistan,1.157524212,Low income,South Asia,27385307.0,57.13031191691447,624996676.8,5.137615083153897,140695166.3,121548357.12412728,293485540.99546325,8.082,0.0600000000000005
2010,AFG,Afghanistan,2.419153378,Low income,South Asia,28189672.0,168.81282914408123,788698416.8,13.416497254739252,378206657.0,156338436.59498635,293485540.99546325,8.068,-0.0140000000000011
2011,AFG,Afghanistan,0.984675572,Low income,South Asia,29249157.0,-52.64055825437255,454083462.0,6.12381961640809,179116561.4,181904138.2698179,293485540.99546325,7.947,-0.1209999999999995
2012,AFG,Afghanistan,1.086026159,Low income,South Asia,30466479.0,22.49905077733365,323642538.3,7.201885308111909,219416087.5,202035729.69368964,293485540.99546325,8.019,0.072
2013,AFG,Afghanistan,1.688178842,Low income,South Asia,31541209.0,58.22235085656607,444730790.5,11.006721137417404,347165291.8,205644854.18423465,293485540.99546325,7.949,-0.0700000000000002
2014,AFG,Afghanistan,1.232898477,Low income,South Asia,32716210.0,-27.0181012951134,524163478.5,7.744412375394338,253367821.6,205505827.3869536,293485540.99546325,7.91,-0.0389999999999997
2015,AFG,Afghanistan,1.743285395,Low income,South Asia,33753499.0,37.59628791788137,228991809.2,10.32855045042886,348624717.3,199981436.37290096,293485540.99546325,8.989,1.0790000000000006
2016,AFG,Afghanistan,3.483497917,Low income,South Asia,34636207.0,80.05344178159336,167894464.3,18.122966016457863,627710802.4,180195544.06410745,293485540.99546325,10.086,1.0969999999999995
2017,AFG,Afghanistan,4.353917518,Low income,South Asia,35643418.0,31.06857920149759,143979106.2,23.08228773682704,822731630.2,188963531.53192645,293485540.99546325,11.18,1.0939999999999994
2018,AFG,Afghanistan,4.362628514,Low income,South Asia,36686784.0,-2.3318875433701702,234618700.6,21.902886167400226,803546453.8,184188603.54975435,293485540.99546325,11.11,-0.0700000000000002
2019,AFG,Afghanistan,4.382934258,Low income,South Asia,37769499.0,3.114375053446361,217292318.0,21.937593191267908,828571904.1,189045022.1989161,293485540.99546325,11.085,-0.0249999999999985
2020,AFG,Afghanistan,3.916494188,Low income,South Asia,38972230.0,-4.785920051570325,225420606.5,20.24305807494208,788917115.2,201434517.0272981,293485540.99546325,11.71,0.625
2021,AFG,Afghanistan,2.057170801,Low income,South Asia,40099462.0,-61.97319157869374,0.0,7.481397131961521,300000000.0,145831352.3865732,293485540.99546325,0.0,0.0
2022,AFG,Afghanistan,0.0,Low income,South Asia,41128771.0,16.666666666666675,0.0,8.50985797752138,350000000.0,0.0,293485540.99546325,0.0,0.0
1970,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2135479.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1971,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2187853.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1972,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2243126.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1973,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2296752.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1974,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2350124.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1975,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2404831.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1976,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2458526.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1977,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2513546.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1978,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2566266.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1979,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2617832.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1980,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2671997.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1981,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2726056.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1982,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2784278.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1983,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2843960.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1984,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2904429.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1985,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,2964762.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1986,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,3022635.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1987,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,3083605.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1988,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,3142336.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1989,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,3227943.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1990,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,3286542.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,0.0,0.0
1991,ALB,Albania,0.0,Upper middle income,Europe & Central Asia,3266790.0,0.0,0.0,0.0,0.0,0.0,521154615.0580489,10.307,0.0
1992,ALB,Albania,23.27596153,Upper middle income,Europe & Central Asia,3247039.0,0.0,0.0,46.75028541388016,151800000.0,6521749.909422539,521154615.0580489,30.015,19.708
1993,ALB,Albania,28.00942102,Upper middle income,Europe & Central Asia,3227287.0,118.7088274044796,0.0,102.87278447810807,332000000.0,11853154.685451616,521154615.0580489,25.258,-4.7570000000000014
1994,ALB,Albania,16.32684866,Upper middle income,Europe & Central Asia,3207536.0,-7.499999999999996,0.0,95.74327458834443,307100000.0,18809508.582778767,521154615.0580489,20.84,-4.417999999999999
1995,ALB,Albania,17.85800219,Upper middle income,Europe & Central Asia,3187784.0,39.14034516444156,0.0,134.0429589959671,427300000.0,23927648.53838334,521154615.0580489,14.611,-6.228999999999999
1996,ALB,Albania,17.21755753,Upper middle income,Europe & Central Asia,3168033.0,28.925813245963017,0.0,173.89339063071628,550900000.0,31996408.26174721,521154615.0580489,13.931,-0.6800000000000015
1997,ALB,Albania,13.29635342,Upper middle income,Europe & Central Asia,3148281.0,-45.489199491740784,0.0,95.38538650139552,300300000.0,22585139.738260657,521154615.0580489,16.876,2.945000000000002
1998,ALB,Albania,19.80153266,Upper middle income,Europe & Central Asia,3128530.0,67.87878787878788,0.0,161.1427731234797,504140000.0,25459645.40504412,521154615.0580489,20.047,3.171
1999,ALB,Albania,12.6769794,Upper middle income,Europe & Central Asia,3108778.0,-19.228785654778434,0.0,130.98394288688354,407200000.0,32121216.509983443,521154615.0580489,20.84,0.7929999999999993
2000,ALB,Albania,17.17640745,Upper middle income,Europe & Central Asia,3089027.0,46.80746561886051,0.0,193.52372122354384,597800000.0,34803552.59038758,521154615.0580489,19.028,-1.8120000000000007
2001,ALB,Albania,17.82973046,Upper middle income,Europe & Central Asia,3060173.0,16.978922716627643,0.0,228.51649236824196,699300000.0,39221007.94338088,521154615.0580489,18.575,-0.4529999999999994
2002,ALB,Albania,16.87117035,Upper middle income,Europe & Central Asia,3051010.0,4.900614900614908,0.0,240.43513459477356,733570000.0,43480682.41750638,521154615.0580489,17.895,-0.6799999999999997
2003,ALB,Albania,15.83799653,Upper middle income,Europe & Central Asia,3039616.0,21.15388883133169,4135728.07,292.38844061223523,888748582.3,56114962.55959844,521154615.0580489,16.989,-0.9059999999999988
2004,ALB,Albania,16.15480677,Upper middle income,Europe & Central Asia,3026939.0,30.5962257623283,4863740.36,383.4474711911935,1160672105.0,71846857.81295791,521154615.0580489,16.31,-0.679000000000002
2005,ALB,Albania,16.01703861,Upper middle income,Europe & Central Asia,3011487.0,11.117025251502888,6511798.046,428.2616249049058,1289704316.0,80520772.12293115,521154615.0580489,15.97,-0.3399999999999981
2006,ALB,Albania,15.28165315,Upper middle income,Europe & Central Asia,2992547.0,5.409225055272282,26532132.03,454.2843688002227,1359467325.0,88960749.96964578,521154615.0580489,15.63,-0.3399999999999998
2007,ALB,Albania,13.74894946,Upper middle income,Europe & Central Asia,2970017.0,7.984941822709857,9940000.0,494.2799990707124,1468020000.0,106773248.69590436,521154615.0580489,15.97,0.3399999999999998
2008,ALB,Albania,14.48280768,Upper middle income,Europe & Central Asia,2947314.0,27.08148145120639,279685288.7,632.9768609656114,1865581564.0,128813528.78670552,521154615.0580489,13.06,-2.91
2009,ALB,Albania,14.2616132,Upper middle income,Europe & Central Asia,2927519.0,-7.926941113361041,229819782.3,586.7418834856409,1717698012.0,120442055.74163236,521154615.0580489,13.67,0.6099999999999994
2010,ALB,Albania,13.30245685,Upper middle income,Europe & Central Asia,2913021.0,-7.633689978328972,209306821.6,544.6491017400836,1586574271.0,119269266.4889193,521154615.0580489,14.09,0.4199999999999999
2011,ALB,Albania,12.04024031,Upper middle income,Europe & Central Asia,2905195.0,-2.174228942856715,150855105.3,534.2424567025621,1552078514.0,128907602.67558149,521154615.0580489,13.48,-0.6099999999999994
2012,ALB,Albania,11.52428262,Upper middle income,Europe & Central Asia,2900401.0,-8.524439827404251,215775643.9,489.5090420255682,1419772515.0,123198342.30167466,521154615.0580489,13.38,-0.0999999999999996
2013,ALB,Albania,10.0330744,Upper middle income,Europe & Central Asia,2895092.0,-9.714542262427162,190551293.6,442.76593420865385,1281848114.0,127762245.4389454,521154615.0580489,15.87,2.4899999999999984
2014,ALB,Albania,10.74230124,Upper middle income,Europe & Central Asia,2889104.0,10.856148905641728,178722842.2,491.8505716651253,1421007454.0,132281475.1003948,521154615.0580489,18.05,2.180000000000001
2015,ALB,Albania,11.33643766,Upper middle income,Europe & Central Asia,2880703.0,-9.15856884731021,153312400.5,448.1071141315158,1290863508.0,113868531.43071048,521154615.0580489,17.19,-0.8599999999999994
2016,ALB,Albania,11.01076776,Upper middle income,Europe & Central Asia,2876101.0,1.1732967045807952,147156757.4,454.0901612982298,1306009167.0,118611998.31536543,521154615.0580489,15.42,-1.7700000000000014
2017,ALB,Albania,10.07565298,Upper middle income,Europe & Central Asia,2873457.0,0.4451167072091477,106330982.9,456.5310815508984,1311822432.0,130197262.11332858,521154615.0580489,13.62,-1.8000000000000007
2018,ALB,Albania,9.621069257,Upper middle income,Europe & Central Asia,2866376.0,11.159103582092133,114879336.9,508.72950931768895,1458210056.0,151564240.63147143,521154615.0580489,12.3,-1.3199999999999985
2019,ALB,Albania,9.562581956,Upper middle income,Europe & Central Asia,2854191.0,1.001377403750392,119679640.8,516.0174080851632,1472812242.0,154018260.83967733,521154615.0580489,11.47,-0.8300000000000001
2020,ALB,Albania,9.668356595,Upper middle income,Europe & Central Asia,2837849.0,-0.4634012269433607,124630375.7,516.5839380460342,1465987212.0,151627341.99917042,521154615.0580489,13.067,1.5969999999999995
2021,ALB,Albania,9.583389631,Upper middle income,Europe & Central Asia,2811666.0,17.214932295057416,140344309.7,611.1522200716586,1718355918.0,179305651.14889255,521154615.0580489,12.683,-0.3840000000000003
2022,ALB,Albania,9.242857257,Upper middle income,Europe & Central Asia,2775634.0,1.5648223815760254,149489653.2,628.7735112050076,1745245136.0,188820955.19524044,521154615.0580489,11.808,-0.875
1970,DZA,Algeria,4.338415406,Lower middle income,Middle East & North Africa,13795915.0,0.0,0.0,15.294382431321155,211000000.0,48635268.929800585,692382805.6707077,0.0,0.0
1971,DZA,Algeria,4.68763903,Lower middle income,Middle East & North Africa,14110271.0,12.796208530805696,0.0,16.867145925120788,238000000.0,50771827.45447019,692382805.6707077,0.0,0.0
1972,DZA,Algeria,3.354641451,Lower middle income,Middle East & North Africa,14439748.0,-4.621848739495793,0.0,15.720495953253478,227000000.0,67667440.26618181,692382805.6707077,0.0,0.0
1973,DZA,Algeria,2.583873093,Lower middle income,Middle East & North Africa,14786469.0,-0.8810572687224627,0.0,15.21661459541152,225000000.0,87078580.06244582,692382805.6707077,0.0,0.0
1974,DZA,Algeria,1.529159447,Lower middle income,Middle East & North Africa,15153602.0,-10.22222222222222,0.0,13.330164009850597,202000000.0,132098716.32176496,692382805.6707077,0.0,0.0
1975,DZA,Algeria,1.709742159,Lower middle income,Middle East & North Africa,15724692.0,31.68316831683169,0.0,16.916070597757972,266000000.0,155579014.4144185,692382805.6707077,0.0,0.0
1976,DZA,Algeria,1.438382978,Lower middle income,Middle East & North Africa,16500516.0,-4.135338345864659,0.0,15.454062163874148,255000000.0,177282409.41405246,692382805.6707077,0.0,0.0
1977,DZA,Algeria,1.664114706,Lower middle income,Middle East & North Africa,17134192.0,36.86274509803922,83920974.73,20.36862899633668,349000000.0,209721120.0295708,692382805.6707077,0.0,0.0
1978,DZA,Algeria,1.490641315,Lower middle income,Middle East & North Africa,17632645.0,12.60744985673352,112963012.7,22.28820463407504,393000000.0,263644913.12921917,692382805.6707077,0.0,0.0
1979,DZA,Algeria,1.254372641,Lower middle income,Middle East & North Africa,18166981.0,6.106870229007644,130798111.0,22.95373127764046,417000000.0,332437097.5339217,692382805.6707077,0.0,0.0
1980,DZA,Algeria,0.958772112,Lower middle income,Middle East & North Africa,18739378.0,-2.637889688249395,164692703.2,21.66560704416123,406000000.0,423458290.9937623,692382805.6707077,0.0,0.0
1981,DZA,Algeria,1.007923882,Lower middle income,Middle East & North Africa,19351357.0,10.098522167487678,149682266.2,23.099155268542667,447000000.0,443485870.29511416,692382805.6707077,0.0,0.0
1982,DZA,Algeria,1.121503495,Lower middle income,Middle East & North Africa,20000096.0,13.422818791946312,126301345.8,25.34987832058406,507000000.0,452071707.5429176,692382805.6707077,0.0,0.0
1983,DZA,Algeria,0.803256141,Lower middle income,Middle East & North Africa,20682111.0,-22.68244575936884,156824249.3,18.95357780450941,392000000.0,488013698.2357661,692382805.6707077,0.0,0.0
1984,DZA,Algeria,0.612679505,Lower middle income,Middle East & North Africa,21393530.0,-16.07142857142857,141269714.4,15.378481251107226,329000000.0,536985483.1360811,692382805.6707077,0.0,0.0
1985,DZA,Algeria,0.540233887,Lower middle income,Middle East & North Africa,22132905.0,-4.863221884498481,130872345.0,14.141839943739877,313000000.0,579378686.7723831,692382805.6707077,0.0,0.0
1986,DZA,Algeria,0.562079901,Lower middle income,Middle East & North Africa,22882553.0,14.37699680511182,101439361.6,15.645107431849931,358000000.0,636920123.5679835,692382805.6707077,0.0,0.0
1987,DZA,Algeria,0.729633674,Lower middle income,Middle East & North Africa,23586101.0,36.03351955307264,82272422.79,20.64775352229688,487000000.0,667458229.1825528,692382805.6707077,0.0,0.0
1988,DZA,Algeria,0.641400994,Lower middle income,Middle East & North Africa,24243018.0,-22.176591375770016,53256538.39,15.63336709975631,379000000.0,590894001.639168,692382805.6707077,0.0,0.0
1989,DZA,Algeria,0.620116369,Lower middle income,Middle East & North Africa,24889507.0,-8.970976253298158,38377834.32,13.861262900868224,345000000.0,556347191.0221418,692382805.6707077,0.0,0.0
1990,DZA,Algeria,0.567298114,Lower middle income,Middle East & North Africa,25518074.0,2.0289855072463725,31481969.04,13.794144495387858,352000000.0,620485052.4146111,692382805.6707077,0.0,0.0
1991,DZA,Algeria,2.821789156,Lower middle income,Middle East & North Africa,26133905.0,266.4772727272727,22032304.12,49.36116512247213,1290000000.0,457156764.266763,692382805.6707077,20.6,0.0
1992,DZA,Algeria,2.895644311,Lower middle income,Middle East & North Africa,26748303.0,7.751937984496116,0.0,51.9659135011294,1390000000.0,480031333.5169155,692382805.6707077,24.38,3.7799999999999976
1993,DZA,Algeria,2.28248402,Lower middle income,Middle East & North Africa,27354327.0,-17.985611510791365,0.0,41.675307895529656,1140000000.0,499455851.612052,692382805.6707077,26.23,1.8500000000000012
1994,DZA,Algeria,3.279021684,Lower middle income,Middle East & North Africa,27937006.0,22.36842105263157,0.0,49.93376885125056,1395000000.0,425431770.337753,692382805.6707077,27.74,1.509999999999998
1995,DZA,Algeria,2.681716719,Lower middle income,Middle East & North Africa,28478022.0,-19.713261648745515,0.0,39.32857415448306,1120000000.0,417642919.5763984,692382805.6707077,31.84,4.100000000000001
1996,DZA,Algeria,1.874671642,Lower middle income,Middle East & North Africa,28984634.0,-21.42857142857143,0.0,30.360914683276665,880000000.0,469415539.38543016,692382805.6707077,28.515,-3.3249999999999997
1997,DZA,Algeria,2.200192071,Lower middle income,Middle East & North Africa,29476031.0,20.45454545454546,0.0,35.9614223502479,1060000000.0,481776120.3539943,692382805.6707077,25.43,-3.085000000000001
1998,DZA,Algeria,2.199727737,Lower middle income,Middle East & North Africa,29924668.0,0.0,0.0,35.422281042516495,1060000000.0,481877817.04550105,692382805.6707077,26.64,1.2100000000000009
1999,DZA,Algeria,1.624155201,Lower middle income,Middle East & North Africa,30346083.0,-25.47169811320755,0.0,26.033013881890454,790000000.0,486406717.48216754,692382805.6707077,28.304,1.663999999999998
2000,DZA,Algeria,1.441858459,Lower middle income,Middle East & North Africa,30774621.0,0.0,0.0,25.67050297711221,790000000.0,547903988.1264794,692382805.6707077,29.77,1.466000000000001
2001,DZA,Algeria,1.22386281,Lower middle income,Middle East & North Africa,31200985.0,-15.189873417721522,0.0,21.47368103923642,670000000.0,547446980.5974413,692382805.6707077,27.3,-2.469999999999999
2002,DZA,Algeria,1.885118554,Lower middle income,Middle East & North Africa,31624696.0,59.70149253731343,0.0,33.834317332251985,1070000000.0,567603558.7945309,692382805.6707077,25.9,-1.400000000000002
2003,DZA,Algeria,2.578692472,Lower middle income,Middle East & North Africa,32055883.0,63.55140186915889,0.0,54.59216331679274,1750000000.0,678638503.4283375,692382805.6707077,23.72,-2.18
2004,DZA,Algeria,2.88283791,Lower middle income,Middle East & North Africa,32510186.0,40.57142857142857,0.0,75.66859199144538,2460000000.0,853325811.8559985,692382805.6707077,17.65,-6.07
2005,DZA,Algeria,0.164731536,Lower middle income,Middle East & North Africa,32956690.0,-93.08943089430896,27000000.0,5.158285009811362,170000000.0,1031982121.504652,692382805.6707077,15.27,-2.379999999999999
2006,DZA,Algeria,0.161500805,Lower middle income,Middle East & North Africa,33435080.0,11.1764705882353,35000000.0,5.6527455594543214,189000000.0,1170272804.5225534,692382805.6707077,12.27,-3.0
2007,DZA,Algeria,0.073349165,Lower middle income,Middle East & North Africa,33983827.0,-47.61663314814815,48863732.65,2.913284703044186,99004563.35,1349770830.383686,692382805.6707077,13.79,1.5199999999999996
2008,DZA,Algeria,0.060603195,Lower middle income,Middle East & North Africa,34569592.0,4.673849056473833,26782545.16,2.997775825644688,103631887.2,1710006992.205609,692382805.6707077,11.33,-2.459999999999999
2009,DZA,Algeria,0.109566257,Lower middle income,Middle East & North Africa,35196037.0,45.06824642676197,45702405.84,4.271417304738031,150336961.5,1372110042.0542796,692382805.6707077,10.16,-1.17
2010,DZA,Algeria,0.121948125,Lower middle income,Middle East & North Africa,35856344.0,30.765771795913267,27971375.75,5.482691933120678,196589288.0,1612073067.9540992,692382805.6707077,9.96,-0.1999999999999993
2011,DZA,Algeria,0.101428266,Lower middle income,Middle East & North Africa,36543541.0,3.1947458907323423,30901604.94,5.551454802915787,202869816.2,2000130971.3803053,692382805.6707077,9.96,0.0
2012,DZA,Algeria,0.102765815,Lower middle income,Middle East & North Africa,37260563.0,5.901051533559776,44242618.92,5.765915791449528,214841268.6,2090590811.740266,692382805.6707077,10.97,1.0099999999999998
2013,DZA,Algeria,0.099926791,Lower middle income,Middle East & North Africa,38000626.0,-2.438928625838499,38715810.2,5.515736593391909,209601443.4,2097550029.4010243,692382805.6707077,9.82,-1.1500000000000004
2014,DZA,Algeria,1.147019708,Lower middle income,Middle East & North Africa,38760168.0,1070.0504429827795,295922112.1,63.27223909349412,2452442617.0,2138099807.6102805,692382805.6707077,10.21,0.3900000000000005
2015,DZA,Algeria,1.203399682,Lower middle income,Middle East & North Africa,39543154.0,-18.554936039916324,72128990.59,50.511738593234114,1997393458.0,1659792243.4883945,692382805.6707077,11.21,1.0
2016,DZA,Algeria,1.242873986,Lower middle income,Middle East & North Africa,40339329.0,-0.4190391716002106,76633496.32,49.30730496285647,1989023597.0,1600342125.9152496,692382805.6707077,10.2,-1.0100000000000016
2017,DZA,Algeria,1.053450201,Lower middle income,Middle East & North Africa,41136546.0,-9.9112209778374,214378056.7,43.55949264675746,1791887073.0,1700969890.459967,692382805.6707077,10.334,0.1340000000000003
2018,DZA,Algeria,1.134862664,Lower middle income,Middle East & North Africa,41927007.0,10.77698081033034,87006383.21,47.344147389294925,1984998399.0,1749108911.5607738,692382805.6707077,10.416,0.0820000000000007
2019,DZA,Algeria,1.039727333,Lower middle income,Middle East & North Africa,42705368.0,-10.033243155275716,81545364.58,41.81766289895921,1785838683.0,1717602900.6058648,692382805.6707077,10.495,0.0789999999999988
2020,DZA,Algeria,1.166162701,Lower middle income,Middle East & North Africa,43451666.0,-4.828529520658842,149253465.3,39.11493140447135,1699608935.0,1457437228.5638726,692382805.6707077,12.248,1.753
2021,DZA,Algeria,1.096307869,Lower middle income,Middle East & North Africa,44177969.0,5.44537158484637,83259319.41,40.56680281069508,1792158957.0,1634722332.7282343,692382805.6707077,11.747,-0.5009999999999994
2022,DZA,Algeria,0.917252518,Lower middle income,Middle East & North Africa,44903225.0,-1.776245732872228,82202373.77,39.20265882907074,1760325810.0,1919128893.5769377,692382805.6707077,11.55,-0.1969999999999991
