Year,country_code,country_name,new_income_group,new_region,population,remittance_growth_rate,remittance_paid,remittance_per_capita,remittance_received,remittance_to_gdp_ratio,remittance_volatility,unemployment_rate,unemployment_rate_change,net_migration,gdp,remittance_to_gdp_ratio1
2016,AFG,Afghanistan,Low income,South Asia,34636207,80.05344178,167894464.3,18.12296602,627710802.4,180195544.1,293485541.0,10.086,1.097,-90238,18019554403.0,0.03483497917659357
2017,AFG,Afghanistan,Low income,South Asia,35643418,31.0685792,143979106.2,23.08228774,822731630.2,188963531.5,293485541.0,11.18,1.094,-47090,18896353156.0,0.043539175173531564
2018,AFG,Afghanistan,Low income,South Asia,36686784,-2.331887543,234618700.6,21.90288617,803546453.8,184188603.5,293485541.0,11.11,-0.07,-47205,18418860354.0,0.04362628514231038
2019,AFG,Afghanistan,Low income,South Asia,37769499,3.114375053,217292318.0,21.93759319,828571904.1,189045022.2,293485541.0,11.085,-0.025,-8082,18904502222.0,0.04382934257511179
2020,AFG,Afghanistan,Low income,South Asia,38972230,-4.785920052,225420606.5,20.24305807,788917115.2,201434517.0,293485541.0,11.71,0.625,166821,20143451706.0,0.039164941873641765
2021,AFG,Afghanistan,Low income,South Asia,40099462,-61.97319158,0.0,7.481397132,300000000.0,145831352.4,293485541.0,0.0,0.0,-183672,14583135237.0,0.020571708012337896
2022,AFG,Afghanistan,Low income,South Asia,41128771,16.66666667,0.0,8.509857978,350000000.0,0.0,293485541.0,0.0,0.0,0,0.0,inf
1970,ALB,Albania,Upper middle income,Europe & Central Asia,2135479,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,11102,0.0,
1971,ALB,Albania,Upper middle income,Europe & Central Asia,2187853,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,10007,0.0,
1972,ALB,Albania,Upper middle income,Europe & Central Asia,2243126,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,8796,0.0,
1973,ALB,Albania,Upper middle income,Europe & Central Asia,2296752,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,7346,0.0,
1974,ALB,Albania,Upper middle income,Europe & Central Asia,2350124,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,5834,0.0,
1975,ALB,Albania,Upper middle income,Europe & Central Asia,2404831,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,3922,0.0,
1976,ALB,Albania,Upper middle income,Europe & Central Asia,2458526,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,1646,0.0,
1977,ALB,Albania,Upper middle income,Europe & Central Asia,2513546,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-683,0.0,
1978,ALB,Albania,Upper middle income,Europe & Central Asia,2566266,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-3324,0.0,
1979,ALB,Albania,Upper middle income,Europe & Central Asia,2617832,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-6146,0.0,
1980,ALB,Albania,Upper middle income,Europe & Central Asia,2671997,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-9135,0.0,
1981,ALB,Albania,Upper middle income,Europe & Central Asia,2726056,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-12432,0.0,
1982,ALB,Albania,Upper middle income,Europe & Central Asia,2784278,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-15706,0.0,
1983,ALB,Albania,Upper middle income,Europe & Central Asia,2843960,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-19231,0.0,
1984,ALB,Albania,Upper middle income,Europe & Central Asia,2904429,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-23253,1857338012.0,0.0
1985,ALB,Albania,Upper middle income,Europe & Central Asia,2964762,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-27468,1897050133.0,0.0
1986,ALB,Albania,Upper middle income,Europe & Central Asia,3022635,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-32143,2097326250.0,0.0
1987,ALB,Albania,Upper middle income,Europe & Central Asia,3083605,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-37189,2080796250.0,0.0
1988,ALB,Albania,Upper middle income,Europe & Central Asia,3142336,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-42393,2051236250.0,0.0
1989,ALB,Albania,Upper middle income,Europe & Central Asia,3227943,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-48054,2253090000.0,0.0
1990,ALB,Albania,Upper middle income,Europe & Central Asia,3286542,0.0,0.0,0.0,0.0,0.0,521154615.1,0.0,0.0,-52723,2028553750.0,0.0
1991,ALB,Albania,Upper middle income,Europe & Central Asia,3266790,0.0,0.0,0.0,0.0,0.0,521154615.1,10.307,0.0,-56599,1099559028.0,0.0
1992,ALB,Albania,Upper middle income,Europe & Central Asia,3247039,0.0,0.0,46.75028541,151800000.0,6521749.909,521154615.1,30.015,19.708,-59634,652174990.8,0.23275961535077008
1993,ALB,Albania,Upper middle income,Europe & Central Asia,3227287,118.7088274,0.0,102.8727845,332000000.0,11853154.69,521154615.1,25.258,-4.757,-61925,1185315468.0,0.28009421032882365
1994,ALB,Albania,Upper middle income,Europe & Central Asia,3207536,-7.5,0.0,95.74327459,307100000.0,18809508.58,521154615.1,20.84,-4.418,-63700,1880950858.0,0.16326848662411997
1995,ALB,Albania,Upper middle income,Europe & Central Asia,3187784,39.14034516,0.0,134.042959,427300000.0,23927648.54,521154615.1,14.611,-6.229,-65106,2392764853.0,0.17858002196256767
1996,ALB,Albania,Upper middle income,Europe & Central Asia,3168033,28.92581325,0.0,173.8933906,550900000.0,31996408.26,521154615.1,13.931,-0.68,-65800,3199640826.0,0.17217557530940192
1997,ALB,Albania,Upper middle income,Europe & Central Asia,3148281,-45.48919949,0.0,95.3853865,300300000.0,22585139.74,521154615.1,16.876,2.945,-65975,2258513974.0,0.13296353418976012
1998,ALB,Albania,Upper middle income,Europe & Central Asia,3128530,67.87878788,0.0,161.1427731,504140000.0,25459645.41,521154615.1,20.047,3.171,-65616,2545964541.0,0.19801532656145504
1999,ALB,Albania,Upper middle income,Europe & Central Asia,3108778,-19.22878565,0.0,130.9839429,407200000.0,32121216.51,521154615.1,20.84,0.793,-64787,3212121651.0,0.12676979399993465
2000,ALB,Albania,Upper middle income,Europe & Central Asia,3089027,46.80746562,0.0,193.5237212,597800000.0,34803552.59,521154615.1,19.028,-1.812,-63610,3480355258.0,0.17176407455126524
2001,ALB,Albania,Upper middle income,Europe & Central Asia,3060173,16.97892272,0.0,228.5164924,699300000.0,39221007.94,521154615.1,18.575,-0.453,-62059,3922100794.0,0.17829730461536936
2002,ALB,Albania,Upper middle income,Europe & Central Asia,3051010,4.900614901,0.0,240.4351346,733570000.0,43480682.42,521154615.1,17.895,-0.68,-59876,4348068242.0,0.16871170349032438
2003,ALB,Albania,Upper middle income,Europe & Central Asia,3039616,21.15388883,4135728.07,292.3884406,888748582.3,56114962.56,521154615.1,16.989,-0.906,-57308,5611496257.0,0.15837996527064244
2004,ALB,Albania,Upper middle income,Europe & Central Asia,3026939,30.59622576,4863740.36,383.4474712,1160672105.0,71846857.81,521154615.1,16.31,-0.679,-54383,7184685782.0,0.16154806768416585
2005,ALB,Albania,Upper middle income,Europe & Central Asia,3011487,11.11702525,6511798.046,428.2616249,1289704316.0,80520772.12,521154615.1,15.97,-0.34,-50855,8052077209.0,0.16017038616550602
2006,ALB,Albania,Upper middle income,Europe & Central Asia,2992547,5.409225055,26532132.03,454.2843688,1359467325.0,88960749.97,521154615.1,15.63,-0.34,-47174,8896074996.0,0.15281653151656951
2007,ALB,Albania,Upper middle income,Europe & Central Asia,2970017,7.984941823,9940000.0,494.2799991,1468020000.0,106773248.7,521154615.1,15.97,0.34,-43019,10677324873.0,0.13748949455609583
2008,ALB,Albania,Upper middle income,Europe & Central Asia,2947314,27.08148145,279685288.7,632.976861,1865581564.0,128813528.8,521154615.1,13.06,-2.91,-38736,12881352878.0,0.1448280768075392
2009,ALB,Albania,Upper middle income,Europe & Central Asia,2927519,-7.926941113,229819782.3,586.7418835,1717698012.0,120442055.7,521154615.1,13.67,0.61,-34116,12044205572.0,0.14261613202561502
2010,ALB,Albania,Upper middle income,Europe & Central Asia,2913021,-7.633689978,209306821.6,544.6491017,1586574271.0,119269266.5,521154615.1,14.09,0.42,-29330,11926926654.0,0.13302456844302818
2011,ALB,Albania,Upper middle income,Europe & Central Asia,2905195,-2.174228943,150855105.3,534.2424567,1552078514.0,128907602.7,521154615.1,13.48,-0.61,-24465,12890760273.0,0.12040240304917196
2012,ALB,Albania,Upper middle income,Europe & Central Asia,2900401,-8.524439827,215775643.9,489.509042,1419772515.0,123198342.3,521154615.1,13.38,-0.1,-19946,12319834233.0,0.11524282617350376
2013,ALB,Albania,Upper middle income,Europe & Central Asia,2895092,-9.714542262,190551293.6,442.7659342,1281848114.0,127762245.4,521154615.1,15.87,2.49,-16845,12776224537.0,0.10033074405414233
2014,ALB,Albania,Upper middle income,Europe & Central Asia,2889104,10.85614891,178722842.2,491.8505717,1421007454.0,132281475.1,521154615.1,18.05,2.18,-14265,13228147516.0,0.10742301235159585
2015,ALB,Albania,Upper middle income,Europe & Central Asia,2880703,-9.158568847,153312400.5,448.1071141,1290863508.0,113868531.4,521154615.1,17.19,-0.86,-12240,11386853143.0,0.11336437660070733
2016,ALB,Albania,Upper middle income,Europe & Central Asia,2876101,1.173296705,147156757.4,454.0901613,1306009167.0,118611998.3,521154615.1,15.42,-1.77,-10887,11861199831.0,0.11010767760498073
2017,ALB,Albania,Upper middle income,Europe & Central Asia,2873457,0.445116707,106330982.9,456.5310816,1311822432.0,130197262.1,521154615.1,13.62,-1.8,-9768,13019726212.0,0.10075652979483714
2018,ALB,Albania,Upper middle income,Europe & Central Asia,2866376,11.15910358,114879336.9,508.7295093,1458210056.0,151564240.6,521154615.1,12.3,-1.32,-9106,15156424062.0,0.09621069257728189
2019,ALB,Albania,Upper middle income,Europe & Central Asia,2854191,1.001377404,119679640.8,516.0174081,1472812242.0,154018260.8,521154615.1,11.47,-0.83,-8889,15401826081.0,0.09562581957842588
2020,ALB,Albania,Upper middle income,Europe & Central Asia,2837849,-0.463401227,124630375.7,516.583938,1465987212.0,151627342.0,521154615.1,13.067,1.597,-9117,15162734205.0,0.09668356591758907
2021,ALB,Albania,Upper middle income,Europe & Central Asia,2811666,17.2149323,140344309.7,611.1522201,1718355918.0,179305651.1,521154615.1,12.683,-0.384,-10612,17930565119.0,0.0958338962880292
2022,ALB,Albania,Upper middle income,Europe & Central Asia,2775634,1.564822382,149489653.2,628.7735112,1745245136.0,188820955.2,521154615.1,11.808,-0.875,0,18882095518.0,0.09242857257746026
1970,DZA,Algeria,Lower middle income,Middle East & North Africa,13795915,0.0,0.0,15.29438243,211000000.0,48635268.93,692382805.7,0.0,0.0,-37056,4863526893.0,0.04338415405982212
1971,DZA,Algeria,Lower middle income,Middle East & North Africa,14110271,12.79620853,0.0,16.86714593,238000000.0,50771827.45,692382805.7,0.0,0.0,-35129,5077182746.0,0.04687639029489446
1972,DZA,Algeria,Lower middle income,Middle East & North Africa,14439748,-4.621848739,0.0,15.72049595,227000000.0,67667440.27,692382805.7,0.0,0.0,-32867,6766744028.0,0.03354641450314958
1973,DZA,Algeria,Lower middle income,Middle East & North Africa,14786469,-0.881057269,0.0,15.2166146,225000000.0,87078580.06,692382805.7,0.0,0.0,-29960,8707858006.0,0.025838730930725744
1974,DZA,Algeria,Lower middle income,Middle East & North Africa,15153602,-10.22222222,0.0,13.33016401,202000000.0,132098716.3,692382805.7,0.0,0.0,-27618,13209871629.0,0.015291594473677077
1975,DZA,Algeria,Lower middle income,Middle East & North Africa,15724692,31.68316832,0.0,16.9160706,266000000.0,155579014.4,692382805.7,0.0,0.0,338533,15557901445.0,0.017097421586089755
1976,DZA,Algeria,Lower middle income,Middle East & North Africa,16500516,-4.135338346,0.0,15.45406216,255000000.0,177282409.4,692382805.7,0.0,0.0,340146,17728240937.0,0.014383829783574201
1977,DZA,Algeria,Lower middle income,Middle East & North Africa,17134192,36.8627451,83920974.73,20.368629,349000000.0,209721120.0,692382805.7,0.0,0.0,5348,20972112004.0,0.016641147059172457
1978,DZA,Algeria,Lower middle income,Middle East & North Africa,17632645,12.60744986,112963012.7,22.28820463,393000000.0,263644913.1,692382805.7,0.0,0.0,19312,26364491320.0,0.01490641314599807
1979,DZA,Algeria,Lower middle income,Middle East & North Africa,18166981,6.106870229,130798111.0,22.95373128,417000000.0,332437097.5,692382805.7,0.0,0.0,24300,33243709744.0,0.012543726413543914
1980,DZA,Algeria,Lower middle income,Middle East & North Africa,18739378,-2.637889688,164692703.2,21.66560704,406000000.0,423458291.0,692382805.7,0.0,0.0,29298,42345829090.0,0.009587721122122916
1981,DZA,Algeria,Lower middle income,Middle East & North Africa,19351357,10.09852217,149682266.2,23.09915527,447000000.0,443485870.3,692382805.7,0.0,0.0,34865,44348587046.0,0.01007923881625259
1982,DZA,Algeria,Lower middle income,Middle East & North Africa,20000096,13.42281879,126301345.8,25.34987832,507000000.0,452071707.5,692382805.7,0.0,0.0,41604,45207170762.0,0.011215034948087734
1983,DZA,Algeria,Lower middle income,Middle East & North Africa,20682111,-22.68244576,156824249.3,18.9535778,392000000.0,488013698.2,692382805.7,0.0,0.0,49152,48801369811.0,0.008032561412070073
1984,DZA,Algeria,Lower middle income,Middle East & North Africa,21393530,-16.07142857,141269714.4,15.37848125,329000000.0,536985483.1,692382805.7,0.0,0.0,56796,53698548298.0,0.006126795051780824
1985,DZA,Algeria,Lower middle income,Middle East & North Africa,22132905,-4.863221884,130872345.0,14.14183994,313000000.0,579378686.8,692382805.7,0.0,0.0,64927,57937868670.0,0.005402338870674927
1986,DZA,Algeria,Lower middle income,Middle East & North Africa,22882553,14.37699681,101439361.6,15.64510743,358000000.0,636920123.6,692382805.7,0.0,0.0,59893,63692012412.0,0.005620799005128474
1987,DZA,Algeria,Lower middle income,Middle East & North Africa,23586101,36.03351955,82272422.79,20.64775352,487000000.0,667458229.2,692382805.7,0.0,0.0,-18564,66745822963.0,0.007296336735108719
1988,DZA,Algeria,Lower middle income,Middle East & North Africa,24243018,-22.17659138,53256538.39,15.6333671,379000000.0,590894001.6,692382805.7,0.0,0.0,-18817,59089400190.0,0.006414009937168732
1989,DZA,Algeria,Lower middle income,Middle East & North Africa,24889507,-8.970976253,38377834.32,13.8612629,345000000.0,556347191.0,692382805.7,0.0,0.0,-19900,55634719135.0,0.0062011636863456236
1990,DZA,Algeria,Lower middle income,Middle East & North Africa,25518074,2.028985507,31481969.04,13.7941445,352000000.0,620485052.4,692382805.7,0.0,0.0,-21641,62048505222.0,0.005672981141779293
1991,DZA,Algeria,Lower middle income,Middle East & North Africa,26133905,266.4772727,22032304.12,49.36116512,1290000000.0,457156764.3,692382805.7,20.6,0.0,-23561,45715676428.0,0.028217891559182945
1992,DZA,Algeria,Lower middle income,Middle East & North Africa,26748303,7.751937984,0.0,51.9659135,1390000000.0,480031333.5,692382805.7,24.38,3.78,-25186,48003133347.0,0.028956443112830035
1993,DZA,Algeria,Lower middle income,Middle East & North Africa,27354327,-17.98561151,0.0,41.6753079,1140000000.0,499455851.6,692382805.7,26.23,1.85,-26202,49945585166.0,0.022824840197808807
1994,DZA,Algeria,Lower middle income,Middle East & North Africa,27937006,22.36842105,0.0,49.93376885,1395000000.0,425431770.3,692382805.7,27.74,1.51,-31916,42543177031.0,0.032790216842139064
1995,DZA,Algeria,Lower middle income,Middle East & North Africa,28478022,-19.71326165,0.0,39.32857415,1120000000.0,417642919.6,692382805.7,31.84,4.1,-28581,41764291964.0,0.026817167185916094
1996,DZA,Algeria,Lower middle income,Middle East & North Africa,28984634,-21.42857143,0.0,30.36091468,880000000.0,469415539.4,692382805.7,28.515,-3.325,-9849,46941553940.0,0.018746716419418136
1997,DZA,Algeria,Lower middle income,Middle East & North Africa,29476031,20.45454545,0.0,35.96142235,1060000000.0,481776120.4,692382805.7,25.43,-3.085,14071,48177612042.0,0.022001920706985627
1998,DZA,Algeria,Lower middle income,Middle East & North Africa,29924668,0.0,0.0,35.42228104,1060000000.0,481877817.0,692382805.7,26.64,1.21,-27387,48187781711.0,0.02199727736705568
1999,DZA,Algeria,Lower middle income,Middle East & North Africa,30346083,-25.47169811,0.0,26.03301388,790000000.0,486406717.5,692382805.7,28.304,1.664,-12084,48640671735.0,0.016241552014413192
2000,DZA,Algeria,Lower middle income,Middle East & North Africa,30774621,0.0,0.0,25.67050298,790000000.0,547903988.1,692382805.7,29.77,1.466,-18994,54790398813.0,0.014418584589907354
2001,DZA,Algeria,Lower middle income,Middle East & North Africa,31200985,-15.18987342,0.0,21.47368104,670000000.0,547446980.6,692382805.7,27.3,-2.47,-25798,54744698044.0,0.01223862810351973
2002,DZA,Algeria,Lower middle income,Middle East & North Africa,31624696,59.70149254,0.0,33.83431733,1070000000.0,567603558.8,692382805.7,25.9,-1.4,-36255,56760355865.0,0.018851185544800142
2003,DZA,Algeria,Lower middle income,Middle East & North Africa,32055883,63.55140187,0.0,54.59216332,1750000000.0,678638503.4,692382805.7,23.72,-2.18,-39330,67863850334.0,0.025786924723356648
2004,DZA,Algeria,Lower middle income,Middle East & North Africa,32510186,40.57142857,0.0,75.66859199,2460000000.0,853325811.9,692382805.7,17.65,-6.07,-38621,85332581189.0,0.02882837909885131
2005,DZA,Algeria,Lower middle income,Middle East & North Africa,32956690,-93.08943089,27000000.0,5.15828501,170000000.0,1031982122.0,692382805.7,15.27,-2.38,-111256,103000000000.0,0.0016504854368932038
2006,DZA,Algeria,Lower middle income,Middle East & North Africa,33435080,11.17647059,35000000.0,5.652745559,189000000.0,1170272805.0,692382805.7,12.27,-3.0,-32745,117000000000.0,0.0016153846153846153
2007,DZA,Algeria,Lower middle income,Middle East & North Africa,33983827,-47.61663315,48863732.65,2.913284703,99004563.35,1349770830.0,692382805.7,13.79,1.52,-37062,135000000000.0,0.0007333671359259259
2008,DZA,Algeria,Lower middle income,Middle East & North Africa,34569592,4.673849056,26782545.16,2.997775826,103631887.2,1710006992.0,692382805.7,11.33,-2.46,-33931,171000000000.0,0.0006060344280701754
2009,DZA,Algeria,Lower middle income,Middle East & North Africa,35196037,45.06824643,45702405.84,4.271417305,150336961.5,1372110042.0,692382805.7,10.16,-1.17,-33857,137000000000.0,0.0010973500839416058
2010,DZA,Algeria,Lower middle income,Middle East & North Africa,35856344,30.7657718,27971375.75,5.482691933,196589288.0,1612073068.0,692382805.7,9.96,-0.2,-33071,161000000000.0,0.0012210514782608696
2011,DZA,Algeria,Lower middle income,Middle East & North Africa,36543541,3.194745891,30901604.94,5.551454803,202869816.2,2000130971.0,692382805.7,9.96,0.0,-34829,200000000000.0,0.001014349081
2012,DZA,Algeria,Lower middle income,Middle East & North Africa,37260563,5.901051534,44242618.92,5.765915791,214841268.6,2090590812.0,692382805.7,10.97,1.01,-35119,209000000000.0,0.0010279486535885167
2013,DZA,Algeria,Lower middle income,Middle East & North Africa,38000626,-2.438928626,38715810.2,5.515736593,209601443.4,2097550029.0,692382805.7,9.82,-1.15,-35412,210000000000.0,0.0009981021114285715
2014,DZA,Algeria,Lower middle income,Middle East & North Africa,38760168,1070.050443,295922112.1,63.27223909,2452442617.0,2138099808.0,692382805.7,10.21,0.39,-36088,214000000000.0,0.011460012228971963
2015,DZA,Algeria,Lower middle income,Middle East & North Africa,39543154,-18.55493604,72128990.59,50.51173859,1997393458.0,1659792243.0,692382805.7,11.21,1.0,-36371,166000000000.0,0.012032490710843374
2016,DZA,Algeria,Lower middle income,Middle East & North Africa,40339329,-0.419039172,76633496.32,49.30730496,1989023597.0,1600342126.0,692382805.7,10.2,-1.01,-36227,160000000000.0,0.01243139748125
2017,DZA,Algeria,Lower middle income,Middle East & North Africa,41136546,-9.911220978,214378056.7,43.55949265,1791887073.0,1700969890.0,692382805.7,10.334,0.134,-36448,170000000000.0,0.010540512194117647
2018,DZA,Algeria,Lower middle income,Middle East & North Africa,41927007,10.77698081,87006383.21,47.34414739,1984998399.0,1749108912.0,692382805.7,10.416,0.082,-36227,175000000000.0,0.011342847994285714
2019,DZA,Algeria,Lower middle income,Middle East & North Africa,42705368,-10.03324316,81545364.58,41.8176629,1785838683.0,1717602901.0,692382805.7,10.495,0.079,-36386,172000000000.0,0.010382783040697674
