country_name,country_code,Year,remittance_received,remittance_paid,gdp,unemployment_rate
Georgia,GEO,1970,0.0,0.0,0.0,0.0
Ghana,GHA,1970,0.0,0.0,0.0,0.0
Gibraltar,GIB,1970,0.0,0.0,0.0,0.0
Guinea,GIN,1970,0.0,0.0,0.0,0.0
"Gambia, The",GMB,1970,0.0,0.0,0.0,0.0
Guinea-Bissau,GNB,1970,0.0,0.0,0.0,0.0
Equatorial Guinea,GNQ,1970,0.0,0.0,0.0,0.0
Greece,GRC,1970,0.0,0.0,0.0,0.0
Grenada,GRD,1970,0.0,0.0,0.0,0.0
Greenland,GRL,1970,0.0,0.0,0.0,0.0
Guatemala,GTM,1970,0.0,0.0,0.0,0.0
Guam,GUM,1970,0.0,0.0,0.0,0.0
Guyana,GUY,1970,0.0,0.0,0.0,0.0
"Hong Kong SAR, China",HKG,1970,0.0,0.0,0.0,0.0
Honduras,HND,1970,0.0,0.0,0.0,0.0
Croatia,HRV,1970,0.0,0.0,0.0,0.0
Haiti,HTI,1970,0.0,0.0,0.0,0.0
Hungary,HUN,1970,0.0,0.0,0.0,0.0
Indonesia,IDN,1970,0.0,0.0,0.0,0.0
Isle of Man,IMN,1970,0.0,0.0,0.0,0.0
India,IND,1970,0.0,0.0,0.0,0.0
Ireland,IRL,1970,0.0,0.0,0.0,0.0
"Iran, Islamic Rep.",IRN,1970,0.0,0.0,0.0,0.0
Iraq,IRQ,1970,0.0,0.0,0.0,0.0
Iceland,ISL,1970,0.0,0.0,0.0,0.0
Israel,ISR,1970,72000000.0,11000000.0,0.0,0.0
Italy,ITA,1970,1232000000.0,105599998.5,1.08646463,0.0
Jamaica,JAM,1970,0.0,0.0,0.0,0.0
Jordan,JOR,1970,0.0,0.0,0.0,0.0
Japan,JPN,1970,0.0,0.0,0.0,0.0
Kazakhstan,KAZ,1970,0.0,0.0,0.0,0.0
Kenya,KEN,1970,7260000.229,0.0,0.452774467,0.0
Kyrgyz Republic,KGZ,1970,0.0,0.0,0.0,0.0
Cambodia,KHM,1970,0.0,0.0,0.0,0.0
Kiribati,KIR,1970,0.0,0.0,0.0,0.0
St. Kitts and Nevis,KNA,1970,0.0,0.0,0.0,0.0
"Korea, Rep.",KOR,1970,0.0,0.0,0.0,0.0
Kuwait,KWT,1970,0.0,0.0,0.0,0.0
Lao PDR,LAO,1970,0.0,0.0,0.0,0.0
Lebanon,LBN,1970,0.0,0.0,0.0,0.0
Liberia,LBR,1970,0.0,0.0,0.0,0.0
Libya,LBY,1970,0.0,0.0,0.0,0.0
St. Lucia,LCA,1970,0.0,0.0,0.0,0.0
Liechtenstein,LIE,1970,0.0,0.0,0.0,0.0
Sri Lanka,LKA,1970,0.0,0.0,0.0,0.0
Lesotho,LSO,1970,0.0,0.0,0.0,0.0
Lithuania,LTU,1970,0.0,0.0,0.0,0.0
Luxembourg,LUX,1970,0.0,0.0,0.0,0.0
Latvia,LVA,1970,0.0,0.0,0.0,0.0
"Macao SAR, China",MAC,1970,0.0,0.0,0.0,0.0
St. Martin (French part),MAF,1970,0.0,0.0,0.0,0.0
Morocco,MAR,1970,0.0,0.0,0.0,0.0
Monaco,MCO,1970,0.0,0.0,0.0,0.0
Moldova,MDA,1970,0.0,0.0,0.0,0.0
Madagascar,MDG,1970,0.0,0.0,0.0,0.0
Maldives,MDV,1970,0.0,0.0,0.0,0.0
Mexico,MEX,1970,0.0,0.0,0.0,0.0
Marshall Islands,MHL,1970,0.0,0.0,0.0,0.0
North Macedonia,MKD,1970,0.0,0.0,0.0,0.0
Mali,MLI,1970,0.0,0.0,0.0,0.0
Malta,MLT,1970,0.0,0.0,0.0,0.0
Myanmar,MMR,1970,0.0,0.0,0.0,0.0
Montenegro,MNE,1970,0.0,0.0,0.0,0.0
Mongolia,MNG,1970,0.0,0.0,0.0,0.0
Northern Mariana Islands,MNP,1970,0.0,0.0,0.0,0.0
Mozambique,MOZ,1970,0.0,0.0,0.0,0.0
Mauritania,MRT,1970,0.0,0.0,0.0,0.0
Mauritius,MUS,1970,0.0,0.0,0.0,0.0
Malawi,MWI,1970,0.0,0.0,0.0,0.0
Malaysia,MYS,1970,0.0,0.0,0.0,0.0
Namibia,NAM,1970,0.0,0.0,0.0,0.0
New Caledonia,NCL,1970,0.0,0.0,0.0,0.0
Niger,NER,1970,0.0,0.0,0.0,0.0
Nigeria,NGA,1970,0.0,0.0,0.0,0.0
Nicaragua,NIC,1970,0.0,0.0,0.0,0.0
Netherlands,NLD,1970,133425415.0,181215469.4,0.349604102,0.0
Norway,NOR,1970,0.0,0.0,0.0,0.0
Nepal,NPL,1970,0.0,0.0,0.0,0.0
Nauru,NRU,1970,0.0,0.0,0.0,0.0
New Zealand,NZL,1970,0.0,0.0,0.0,0.0
Oman,OMN,1970,0.0,0.0,0.0,0.0
Pakistan,PAK,1970,0.0,0.0,0.0,0.0
Panama,PAN,1970,0.0,0.0,0.0,0.0
Peru,PER,1970,0.0,0.0,0.0,0.0
Philippines,PHL,1970,0.0,0.0,0.0,0.0
Palau,PLW,1970,0.0,0.0,0.0,0.0
Papua New Guinea,PNG,1970,0.0,0.0,0.0,0.0
Poland,POL,1970,0.0,0.0,0.0,0.0
Puerto Rico,PRI,1970,0.0,0.0,0.0,0.0
"Korea, Dem. People's Rep.",PRK,1970,0.0,0.0,0.0,0.0
Portugal,PRT,1970,0.0,0.0,0.0,0.0
Paraguay,PRY,1970,0.0,0.0,0.0,0.0
West Bank and Gaza,PSE,1970,0.0,0.0,0.0,0.0
French Polynesia,PYF,1970,0.0,0.0,0.0,0.0
Qatar,QAT,1970,0.0,0.0,0.0,0.0
Romania,ROU,1970,0.0,0.0,0.0,0.0
Russian Federation,RUS,1970,0.0,0.0,0.0,0.0
Rwanda,RWA,1970,0.0,0.0,0.0,0.0
Saudi Arabia,SAU,1970,0.0,0.0,0.0,0.0
Sudan,SDN,1970,0.0,0.0,0.0,0.0
Senegal,SEN,1970,0.0,0.0,0.0,0.0
Singapore,SGP,1970,0.0,0.0,0.0,0.0
Solomon Islands,SLB,1970,0.0,0.0,0.0,0.0
Sierra Leone,SLE,1970,0.0,0.0,0.0,0.0
El Salvador,SLV,1970,0.0,0.0,0.0,0.0
San Marino,SMR,1970,0.0,0.0,0.0,0.0
Somalia,SOM,1970,0.0,0.0,0.0,0.0
Serbia,SRB,1970,0.0,0.0,0.0,0.0
South Sudan,SSD,1970,0.0,0.0,0.0,0.0
Suriname,SUR,1970,0.0,0.0,0.0,0.0
Slovak Republic,SVK,1970,0.0,0.0,0.0,0.0
Slovenia,SVN,1970,0.0,0.0,0.0,0.0
Sweden,SWE,1970,5799107.552,25129465.1,0.0152238,0.0
Eswatini,SWZ,1970,0.0,0.0,0.0,0.0
Sint Maarten (Dutch part),SXM,1970,0.0,0.0,0.0,0.0
Seychelles,SYC,1970,0.0,0.0,0.0,0.0
Syrian Arab Republic,SYR,1970,0.0,0.0,0.0,0.0
Turks and Caicos Islands,TCA,1970,0.0,0.0,0.0,0.0
Chad,TCD,1970,0.0,0.0,0.0,0.0
Togo,TGO,1970,0.0,0.0,0.0,0.0
Thailand,THA,1970,0.0,0.0,0.0,0.0
Tajikistan,TJK,1970,0.0,0.0,0.0,0.0
Turkmenistan,TKM,1970,0.0,0.0,0.0,0.0
Timor-Leste,TLS,1970,0.0,0.0,0.0,0.0
Tonga,TON,1970,0.0,0.0,0.0,0.0
Trinidad and Tobago,TTO,1970,0.0,0.0,0.0,0.0
Tunisia,TUN,1970,0.0,0.0,0.0,0.0
Tuvalu,TUV,1970,0.0,0.0,0.0,0.0
Tanzania,TZA,1970,0.0,0.0,0.0,0.0
Uganda,UGA,1970,0.0,0.0,0.0,0.0
Ukraine,UKR,1970,0.0,0.0,0.0,0.0
Uruguay,URY,1970,0.0,0.0,0.0,0.0
United States,USA,1970,0.0,650000000.0,0.0,0.0
Uzbekistan,UZB,1970,0.0,0.0,0.0,0.0
St. Vincent and the Grenadines,VCT,1970,0.0,0.0,0.0,0.0
"Venezuela, RB",VEN,1970,0.0,87000000.0,0.0,0.0
British Virgin Islands,VGB,1970,0.0,0.0,0.0,0.0
Virgin Islands (U.S.),VIR,1970,0.0,0.0,0.0,0.0
Vietnam,VNM,1970,0.0,0.0,0.0,0.0
Vanuatu,VUT,1970,0.0,0.0,0.0,0.0
Samoa,WSM,1970,0.0,0.0,0.0,0.0
Kosovo,XKX,1970,0.0,0.0,0.0,0.0
"Yemen, Rep.",YEM,1970,0.0,0.0,0.0,0.0
South Africa,ZAF,1970,15399993.9,236599899.3,0.072578517,0.0
Zambia,ZMB,1970,0.0,0.0,0.0,0.0
Zimbabwe,ZWE,1970,0.0,0.0,0.0,0.0
Aruba,ABW,1971,0.0,0.0,0.0,0.0
Afghanistan,AFG,1971,0.0,0.0,0.0,0.0
Angola,AGO,1971,0.0,0.0,0.0,0.0
Albania,ALB,1971,0.0,0.0,0.0,0.0
Andorra,AND,1971,0.0,0.0,0.0,0.0
United Arab Emirates,ARE,1971,0.0,0.0,0.0,0.0
Argentina,ARG,1971,0.0,0.0,0.0,0.0
Armenia,ARM,1971,0.0,0.0,0.0,0.0
American Samoa,ASM,1971,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,1971,0.0,0.0,0.0,0.0
Australia,AUS,1971,176046508.8,83962074.28,0.389340032,0.0
Austria,AUT,1971,24760213.85,46596698.76,0.138646769,0.0
Azerbaijan,AZE,1971,0.0,0.0,0.0,0.0
Burundi,BDI,1971,0.0,0.0,0.0,0.0
Belgium,BEL,1971,0.0,0.0,0.0,0.0
Benin,BEN,1971,0.0,0.0,0.0,0.0
Burkina Faso,BFA,1971,0.0,0.0,0.0,0.0
Bangladesh,BGD,1971,0.0,0.0,0.0,0.0
Bulgaria,BGR,1971,0.0,0.0,0.0,0.0
Bahrain,BHR,1971,0.0,0.0,0.0,0.0
"Bahamas, The",BHS,1971,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,BIH,1971,0.0,0.0,0.0,0.0
Belarus,BLR,1971,0.0,0.0,0.0,0.0
Belize,BLZ,1971,0.0,0.0,0.0,0.0
Bermuda,BMU,1971,0.0,0.0,0.0,0.0
Bolivia,BOL,1971,0.0,0.0,0.0,0.0
Brazil,BRA,1971,0.0,0.0,0.0,0.0
Barbados,BRB,1971,4607883.93,354452.5802,0.0,0.0
Brunei Darussalam,BRN,1971,0.0,0.0,0.0,0.0
Bhutan,BTN,1971,0.0,0.0,0.0,0.0
Botswana,BWA,1971,0.0,0.0,0.0,0.0
Central African Republic,CAF,1971,0.0,0.0,0.0,0.0
Canada,CAN,1971,0.0,0.0,0.0,0.0
Switzerland,CHE,1971,0.0,0.0,0.0,0.0
Channel Islands,CHI,1971,0.0,0.0,0.0,0.0
Chile,CHL,1971,0.0,0.0,0.0,0.0
China,CHN,1971,0.0,0.0,0.0,0.0
Cameroon,CMR,1971,0.0,0.0,0.0,0.0
"Congo, Dem. Rep.",COD,1971,0.0,0.0,0.0,0.0
"Congo, Rep.",COG,1971,0.0,0.0,0.0,0.0
Colombia,COL,1971,22065559.39,13038740.16,0.282154533,0.0
Comoros,COM,1971,0.0,0.0,0.0,0.0
Cabo Verde,CPV,1971,0.0,0.0,0.0,0.0
Costa Rica,CRI,1971,0.0,0.0,0.0,0.0
Cuba,CUB,1971,0.0,0.0,0.0,0.0
Cayman Islands,CYM,1971,0.0,0.0,0.0,0.0
Cyprus,CYP,1971,0.0,0.0,0.0,0.0
Czechia,CZE,1971,0.0,0.0,0.0,0.0
Germany,DEU,1971,209930938.7,2237634277.0,0.083977395,0.0
Djibouti,DJI,1971,0.0,0.0,0.0,0.0
Dominica,DMA,1971,0.0,0.0,0.0,0.0
Denmark,DNK,1971,0.0,0.0,0.0,0.0
Dominican Republic,DOM,1971,14500000.0,0.0,0.870087009,0.0
Algeria,DZA,1971,238000000.0,0.0,4.68763903,0.0
Ecuador,ECU,1971,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",EGY,1971,0.0,0.0,0.0,0.0
Eritrea,ERI,1971,0.0,0.0,0.0,0.0
Spain,ESP,1971,0.0,0.0,0.0,0.0
Estonia,EST,1971,0.0,0.0,0.0,0.0
Ethiopia,ETH,1971,0.0,0.0,0.0,0.0
Finland,FIN,1971,0.0,0.0,0.0,0.0
Fiji,FJI,1971,0.0,0.0,0.0,0.0
France,FRA,1971,0.0,0.0,0.0,0.0
Faroe Islands,FRO,1971,0.0,0.0,0.0,0.0
"Micronesia, Fed. Sts.",FSM,1971,0.0,0.0,0.0,0.0
Gabon,GAB,1971,0.0,0.0,0.0,0.0
United Kingdom,GBR,1971,0.0,0.0,0.0,0.0
Georgia,GEO,1971,0.0,0.0,0.0,0.0
Ghana,GHA,1971,0.0,0.0,0.0,0.0
Gibraltar,GIB,1971,0.0,0.0,0.0,0.0
Guinea,GIN,1971,0.0,0.0,0.0,0.0
"Gambia, The",GMB,1971,0.0,0.0,0.0,0.0
Guinea-Bissau,GNB,1971,0.0,0.0,0.0,0.0
Equatorial Guinea,GNQ,1971,0.0,0.0,0.0,0.0
Greece,GRC,1971,0.0,0.0,0.0,0.0
Grenada,GRD,1971,0.0,0.0,0.0,0.0
Greenland,GRL,1971,0.0,0.0,0.0,0.0
Guatemala,GTM,1971,0.0,0.0,0.0,0.0
Guam,GUM,1971,0.0,0.0,0.0,0.0
Guyana,GUY,1971,0.0,0.0,0.0,0.0
"Hong Kong SAR, China",HKG,1971,0.0,0.0,0.0,0.0
Honduras,HND,1971,0.0,0.0,0.0,0.0
Croatia,HRV,1971,0.0,0.0,0.0,0.0
Haiti,HTI,1971,17899999.62,5400000.095,4.933847749,0.0
Hungary,HUN,1971,0.0,0.0,0.0,0.0
Indonesia,IDN,1971,0.0,0.0,0.0,0.0
Isle of Man,IMN,1971,0.0,0.0,0.0,0.0
India,IND,1971,0.0,0.0,0.0,0.0
Ireland,IRL,1971,0.0,0.0,0.0,0.0
"Iran, Islamic Rep.",IRN,1971,0.0,0.0,0.0,0.0
Iraq,IRQ,1971,0.0,0.0,0.0,0.0
Iceland,ISL,1971,0.0,0.0,0.0,0.0
Israel,ISR,1971,140000000.0,11000000.0,0.0,0.0
Italy,ITA,1971,1367009399.0,108243904.1,1.096481478,0.0
Jamaica,JAM,1971,0.0,0.0,0.0,0.0
Jordan,JOR,1971,0.0,0.0,0.0,0.0
Japan,JPN,1971,0.0,0.0,0.0,0.0
Kazakhstan,KAZ,1971,0.0,0.0,0.0,0.0
Kenya,KEN,1971,7260000.229,0.0,0.408234131,0.0
Kyrgyz Republic,KGZ,1971,0.0,0.0,0.0,0.0
Cambodia,KHM,1971,0.0,0.0,0.0,0.0
Kiribati,KIR,1971,0.0,0.0,0.0,0.0
St. Kitts and Nevis,KNA,1971,0.0,0.0,0.0,0.0
"Korea, Rep.",KOR,1971,0.0,0.0,0.0,0.0
Kuwait,KWT,1971,0.0,0.0,0.0,0.0
Lao PDR,LAO,1971,0.0,0.0,0.0,0.0
Lebanon,LBN,1971,0.0,0.0,0.0,0.0
Liberia,LBR,1971,0.0,0.0,0.0,0.0
Libya,LBY,1971,0.0,0.0,0.0,0.0
St. Lucia,LCA,1971,0.0,0.0,0.0,0.0
Liechtenstein,LIE,1971,0.0,0.0,0.0,0.0
Sri Lanka,LKA,1971,0.0,0.0,0.0,0.0
Lesotho,LSO,1971,0.0,0.0,0.0,0.0
Lithuania,LTU,1971,0.0,0.0,0.0,0.0
Luxembourg,LUX,1971,0.0,0.0,0.0,0.0
Latvia,LVA,1971,0.0,0.0,0.0,0.0
"Macao SAR, China",MAC,1971,0.0,0.0,0.0,0.0
St. Martin (French part),MAF,1971,0.0,0.0,0.0,0.0
Morocco,MAR,1971,0.0,0.0,0.0,0.0
Monaco,MCO,1971,0.0,0.0,0.0,0.0
Moldova,MDA,1971,0.0,0.0,0.0,0.0
Madagascar,MDG,1971,0.0,0.0,0.0,0.0
Maldives,MDV,1971,0.0,0.0,0.0,0.0
Mexico,MEX,1971,0.0,0.0,0.0,0.0
Marshall Islands,MHL,1971,0.0,0.0,0.0,0.0
North Macedonia,MKD,1971,0.0,0.0,0.0,0.0
Mali,MLI,1971,0.0,0.0,0.0,0.0
Malta,MLT,1971,18177015.3,3193259.478,6.870142701,0.0
Myanmar,MMR,1971,0.0,0.0,0.0,0.0
Montenegro,MNE,1971,0.0,0.0,0.0,0.0
Mongolia,MNG,1971,0.0,0.0,0.0,0.0
Northern Mariana Islands,MNP,1971,0.0,0.0,0.0,0.0
Mozambique,MOZ,1971,0.0,0.0,0.0,0.0
Mauritania,MRT,1971,0.0,0.0,0.0,0.0
Mauritius,MUS,1971,0.0,0.0,0.0,0.0
Malawi,MWI,1971,0.0,0.0,0.0,0.0
Malaysia,MYS,1971,0.0,0.0,0.0,0.0
Namibia,NAM,1971,0.0,0.0,0.0,0.0
New Caledonia,NCL,1971,0.0,0.0,0.0,0.0
Niger,NER,1971,0.0,0.0,0.0,0.0
Nigeria,NGA,1971,0.0,0.0,0.0,0.0
Nicaragua,NIC,1971,0.0,0.0,0.0,0.0
Netherlands,NLD,1971,203130355.8,243088134.8,0.455662523,0.0
Norway,NOR,1971,0.0,0.0,0.0,0.0
Nepal,NPL,1971,0.0,0.0,0.0,0.0
Nauru,NRU,1971,0.0,0.0,0.0,0.0
New Zealand,NZL,1971,0.0,0.0,0.0,0.0
Oman,OMN,1971,0.0,0.0,0.0,0.0
Pakistan,PAK,1971,0.0,0.0,0.0,0.0
Panama,PAN,1971,0.0,0.0,0.0,0.0
Peru,PER,1971,0.0,0.0,0.0,0.0
Philippines,PHL,1971,0.0,0.0,0.0,0.0
Palau,PLW,1971,0.0,0.0,0.0,0.0
Papua New Guinea,PNG,1971,0.0,0.0,0.0,0.0
Poland,POL,1971,0.0,0.0,0.0,0.0
Puerto Rico,PRI,1971,0.0,0.0,0.0,0.0
"Korea, Dem. People's Rep.",PRK,1971,0.0,0.0,0.0,0.0
Portugal,PRT,1971,0.0,0.0,0.0,0.0
Paraguay,PRY,1971,0.0,0.0,0.0,0.0
West Bank and Gaza,PSE,1971,0.0,0.0,0.0,0.0
French Polynesia,PYF,1971,0.0,0.0,0.0,0.0
Qatar,QAT,1971,0.0,0.0,0.0,0.0
Romania,ROU,1971,0.0,0.0,0.0,0.0
Russian Federation,RUS,1971,0.0,0.0,0.0,0.0
Rwanda,RWA,1971,0.0,0.0,0.0,0.0
Saudi Arabia,SAU,1971,0.0,207273315.4,0.0,0.0
Sudan,SDN,1971,0.0,0.0,0.0,0.0
Senegal,SEN,1971,0.0,0.0,0.0,0.0
Singapore,SGP,1971,0.0,0.0,0.0,0.0
Solomon Islands,SLB,1971,0.0,0.0,0.0,0.0
Sierra Leone,SLE,1971,0.0,0.0,0.0,0.0
El Salvador,SLV,1971,0.0,0.0,0.0,0.0
San Marino,SMR,1971,0.0,0.0,0.0,0.0
Somalia,SOM,1971,0.0,0.0,0.0,0.0
Serbia,SRB,1971,0.0,0.0,0.0,0.0
South Sudan,SSD,1971,0.0,0.0,0.0,0.0
Suriname,SUR,1971,0.0,0.0,0.0,0.0
Slovak Republic,SVK,1971,0.0,0.0,0.0,0.0
Slovenia,SVN,1971,0.0,0.0,0.0,0.0
Sweden,SWE,1971,11705249.79,27312248.23,0.028160385,0.0
Eswatini,SWZ,1971,0.0,0.0,0.0,0.0
Sint Maarten (Dutch part),SXM,1971,0.0,0.0,0.0,0.0
Seychelles,SYC,1971,0.0,0.0,0.0,0.0
Syrian Arab Republic,SYR,1971,0.0,0.0,0.0,0.0
Turks and Caicos Islands,TCA,1971,0.0,0.0,0.0,0.0
Chad,TCD,1971,0.0,0.0,0.0,0.0
Togo,TGO,1971,0.0,0.0,0.0,0.0
Thailand,THA,1971,0.0,0.0,0.0,0.0
Tajikistan,TJK,1971,0.0,0.0,0.0,0.0
Turkmenistan,TKM,1971,0.0,0.0,0.0,0.0
Timor-Leste,TLS,1971,0.0,0.0,0.0,0.0
Tonga,TON,1971,793769.9556,42016.4354,0.0,0.0
Trinidad and Tobago,TTO,1971,0.0,0.0,0.0,0.0
Tunisia,TUN,1971,0.0,0.0,0.0,0.0
Tuvalu,TUV,1971,0.0,0.0,0.0,0.0
Tanzania,TZA,1971,0.0,0.0,0.0,0.0
Uganda,UGA,1971,0.0,0.0,0.0,0.0
Ukraine,UKR,1971,0.0,0.0,0.0,0.0
Uruguay,URY,1971,0.0,0.0,0.0,0.0
United States,USA,1971,0.0,700000000.0,0.0,0.0
Uzbekistan,UZB,1971,0.0,0.0,0.0,0.0
St. Vincent and the Grenadines,VCT,1971,0.0,0.0,0.0,0.0
"Venezuela, RB",VEN,1971,0.0,80000000.0,0.0,0.0
British Virgin Islands,VGB,1971,0.0,0.0,0.0,0.0
Virgin Islands (U.S.),VIR,1971,0.0,0.0,0.0,0.0
Vietnam,VNM,1971,0.0,0.0,0.0,0.0
Vanuatu,VUT,1971,0.0,0.0,0.0,0.0
Samoa,WSM,1971,0.0,0.0,0.0,0.0
Kosovo,XKX,1971,0.0,0.0,0.0,0.0
"Yemen, Rep.",YEM,1971,0.0,0.0,0.0,0.0
South Africa,ZAF,1971,15378211.98,283822326.7,0.065687753,0.0
Zambia,ZMB,1971,0.0,0.0,0.0,0.0
Zimbabwe,ZWE,1971,0.0,0.0,0.0,0.0
Aruba,ABW,1972,0.0,0.0,0.0,0.0
Afghanistan,AFG,1972,0.0,0.0,0.0,0.0
Angola,AGO,1972,0.0,0.0,0.0,0.0
Albania,ALB,1972,0.0,0.0,0.0,0.0
Andorra,AND,1972,0.0,0.0,0.0,0.0
United Arab Emirates,ARE,1972,0.0,0.0,0.0,0.0
Argentina,ARG,1972,0.0,0.0,0.0,0.0
Armenia,ARM,1972,0.0,0.0,0.0,0.0
American Samoa,ASM,1972,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,1972,0.0,0.0,0.0,0.0
Australia,AUS,1972,228958923.3,122832298.3,0.439949803,0.0
Austria,AUT,1972,36248191.83,98605583.19,0.164319259,0.0
Azerbaijan,AZE,1972,0.0,0.0,0.0,0.0
Burundi,BDI,1972,0.0,0.0,0.0,0.0
Belgium,BEL,1972,0.0,0.0,0.0,0.0
Benin,BEN,1972,0.0,0.0,0.0,0.0
Burkina Faso,BFA,1972,0.0,0.0,0.0,0.0
Bangladesh,BGD,1972,0.0,0.0,0.0,0.0
Bulgaria,BGR,1972,0.0,0.0,0.0,0.0
Bahrain,BHR,1972,0.0,0.0,0.0,0.0
"Bahamas, The",BHS,1972,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,BIH,1972,0.0,0.0,0.0,0.0
Belarus,BLR,1972,0.0,0.0,0.0,0.0
Belize,BLZ,1972,0.0,0.0,0.0,0.0
Bermuda,BMU,1972,0.0,0.0,0.0,0.0
Bolivia,BOL,1972,0.0,0.0,0.0,0.0
Brazil,BRA,1972,0.0,0.0,0.0,0.0
Barbados,BRB,1972,5100764.275,416388.8991,0.0,0.0
Brunei Darussalam,BRN,1972,0.0,0.0,0.0,0.0
Bhutan,BTN,1972,0.0,0.0,0.0,0.0
Botswana,BWA,1972,0.0,0.0,0.0,0.0
Central African Republic,CAF,1972,0.0,0.0,0.0,0.0
Canada,CAN,1972,0.0,0.0,0.0,0.0
Switzerland,CHE,1972,0.0,0.0,0.0,0.0
Channel Islands,CHI,1972,0.0,0.0,0.0,0.0
Chile,CHL,1972,0.0,0.0,0.0,0.0
China,CHN,1972,0.0,0.0,0.0,0.0
Cameroon,CMR,1972,0.0,0.0,0.0,0.0
"Congo, Dem. Rep.",COD,1972,0.0,0.0,0.0,0.0
"Congo, Rep.",COG,1972,0.0,0.0,0.0,0.0
Colombia,COL,1972,22799909.59,15199939.73,0.26293353,0.0
