Year,country_code,country_name,gdp,new_income_group,new_region,population,remittance_growth_rate,remittance_paid,remittance_per_capita,remittance_received,remittance_to_gdp_ratio,remittance_volatility,unemployment_rate,unemployment_rate_change,net_migration
1988,AFG,Afghanistan,0,Low income,South Asia,10383460,0,0,0,0,0,293485541,0,0,-89837
1989,AFG,Afghanistan,0,Low income,South Asia,10673168,0,0,0,0,0,293485541,0,0,2683
1990,AFG,Afghanistan,0,Low income,South Asia,10694796,0,0,0,0,0,293485541,0,0,-666001
1991,AFG,Afghanistan,0,Low income,South Asia,10745167,0,0,0,0,0,293485541,8.121,0,39926
1992,AFG,Afghanistan,0,Low income,South Asia,12057433,0,0,0,0,0,293485541,8.168,0.047,1834556
1993,AFG,Afghanistan,0,Low income,South Asia,14003760,0,0,0,0,0,293485541,8.123,-0.045,1171818
1994,AFG,Afghanistan,0,Low income,South Asia,15455555,0,0,0,0,0,293485541,8.111,-0.012,665410
1995,AFG,Afghanistan,0,Low income,South Asia,16418912,0,0,0,0,0,293485541,8.26,0.149,71824
1996,AFG,Afghanistan,0,Low income,South Asia,17106595,0,0,0,0,0,293485541,8.165,-0.095,27194
1997,AFG,Afghanistan,0,Low income,South Asia,17788819,0,0,0,0,0,293485541,8.089,-0.076,6129
1998,AFG,Afghanistan,0,Low income,South Asia,18493132,0,0,0,0,0,293485541,8.082,-0.007,35740
1999,AFG,Afghanistan,0,Low income,South Asia,19262847,0,0,0,0,0,293485541,8.07,-0.012,85758
2000,AFG,Afghanistan,0,Low income,South Asia,19542982,0,0,0,0,0,293485541,8.054,-0.016,-1007135
2001,AFG,Afghanistan,0,Low income,South Asia,19688632,0,0,0,0,0,293485541,8.04,-0.014,-192286
2002,AFG,Afghanistan,0,Low income,South Asia,21000256,0,0,0,0,0,293485541,8.186,0.146,1327074
2003,AFG,Afghanistan,0,Low income,South Asia,22645130,0,0,0,0,0,293485541,8.122,-0.064,388632
2004,AFG,Afghanistan,0,Low income,South Asia,23553551,0,0,0,0,0,293485541,8.053,-0.069,-248616
2005,AFG,Afghanistan,0,Low income,South Asia,24411191,0,0,0,0,0,293485541,8.113,0.06,252185
2006,AFG,Afghanistan,0,Low income,South Asia,25442944,0,0,0,0,0,293485541,8.054,-0.059,62684
2007,AFG,Afghanistan,0,Low income,South Asia,25903301,0,0,0,0,0,293485541,8.108,0.054,-942887
2008,AFG,Afghanistan,0.873584804,Low income,South Asia,26427199,inf,216603835.9,3.388192443,89540435.95,102497703.2,293485541,8.022,-0.086,221000
2009,AFG,Afghanistan,1.157524212,Low income,South Asia,27385307,57.13031192,624996676.8,5.137615083,140695166.3,121548357.1,293485541,8.082,0.06,-58881
2010,AFG,Afghanistan,2.419153378,Low income,South Asia,28189672,168.8128291,788698416.8,13.41649725,378206657,156338436.6,293485541,8.068,-0.014,-141355
2011,AFG,Afghanistan,0.984675572,Low income,South Asia,29249157,-52.64055825,454083462,6.123819616,179116561.4,181904138.3,293485541,7.947,-0.121,418796
2012,AFG,Afghanistan,1.086026159,Low income,South Asia,30466479,22.49905078,323642538.3,7.201885308,219416087.5,202035729.7,293485541,8.019,0.072,105905
2013,AFG,Afghanistan,1.688178842,Low income,South Asia,31541209,58.22235086,444730790.5,11.00672114,347165291.8,205644854.2,293485541,7.949,-0.07,48076
2014,AFG,Afghanistan,1.232898477,Low income,South Asia,32716210,-27.0181013,524163478.5,7.744412375,253367821.6,205505827.4,293485541,7.91,-0.039,255611
2015,AFG,Afghanistan,1.743285395,Low income,South Asia,33753499,37.59628792,228991809.2,10.32855045,348624717.3,199981436.4,293485541,8.989,1.079,-281739
2016,AFG,Afghanistan,3.483497917,Low income,South Asia,34636207,80.05344178,167894464.3,18.12296602,627710802.4,180195544.1,293485541,10.086,1.097,-90238
2017,AFG,Afghanistan,4.353917518,Low income,South Asia,35643418,31.0685792,143979106.2,23.08228774,822731630.2,188963531.5,293485541,11.18,1.094,-47090
2018,AFG,Afghanistan,4.362628514,Low income,South Asia,36686784,-2.331887543,234618700.6,21.90288617,803546453.8,184188603.5,293485541,11.11,-0.07,-47205
2019,AFG,Afghanistan,4.382934258,Low income,South Asia,37769499,3.114375053,217292318,21.93759319,828571904.1,189045022.2,293485541,11.085,-0.025,-8082
2020,AFG,Afghanistan,3.916494188,Low income,South Asia,38972230,-4.785920052,225420606.5,20.24305807,788917115.2,201434517,293485541,11.71,0.625,166821
2021,AFG,Afghanistan,2.057170801,Low income,South Asia,40099462,-61.97319158,0,7.481397132,300000000,145831352.4,293485541,0,0,-183672
2022,AFG,Afghanistan,0,Low income,South Asia,41128771,16.66666667,0,8.509857978,350000000,0,293485541,0,0,0
1970,ALB,Albania,0,Upper middle income,Europe & Central Asia,2135479,0,0,0,0,0,521154615.1,0,0,11102
1971,ALB,Albania,0,Upper middle income,Europe & Central Asia,2187853,0,0,0,0,0,521154615.1,0,0,10007
1972,ALB,Albania,0,Upper middle income,Europe & Central Asia,2243126,0,0,0,0,0,521154615.1,0,0,8796
1973,ALB,Albania,0,Upper middle income,Europe & Central Asia,2296752,0,0,0,0,0,521154615.1,0,0,7346
1974,ALB,Albania,0,Upper middle income,Europe & Central Asia,2350124,0,0,0,0,0,521154615.1,0,0,5834
1975,ALB,Albania,0,Upper middle income,Europe & Central Asia,2404831,0,0,0,0,0,521154615.1,0,0,3922
1976,ALB,Albania,0,Upper middle income,Europe & Central Asia,2458526,0,0,0,0,0,521154615.1,0,0,1646
1977,ALB,Albania,0,Upper middle income,Europe & Central Asia,2513546,0,0,0,0,0,521154615.1,0,0,-683
1978,ALB,Albania,0,Upper middle income,Europe & Central Asia,2566266,0,0,0,0,0,521154615.1,0,0,-3324
1979,ALB,Albania,0,Upper middle income,Europe & Central Asia,2617832,0,0,0,0,0,521154615.1,0,0,-6146
1980,ALB,Albania,0,Upper middle income,Europe & Central Asia,2671997,0,0,0,0,0,521154615.1,0,0,-9135
1981,ALB,Albania,0,Upper middle income,Europe & Central Asia,2726056,0,0,0,0,0,521154615.1,0,0,-12432
1982,ALB,Albania,0,Upper middle income,Europe & Central Asia,2784278,0,0,0,0,0,521154615.1,0,0,-15706
1983,ALB,Albania,0,Upper middle income,Europe & Central Asia,2843960,0,0,0,0,0,521154615.1,0,0,-19231
1984,ALB,Albania,0,Upper middle income,Europe & Central Asia,2904429,0,0,0,0,0,521154615.1,0,0,-23253
1985,ALB,Albania,0,Upper middle income,Europe & Central Asia,2964762,0,0,0,0,0,521154615.1,0,0,-27468
1986,ALB,Albania,0,Upper middle income,Europe & Central Asia,3022635,0,0,0,0,0,521154615.1,0,0,-32143
1987,ALB,Albania,0,Upper middle income,Europe & Central Asia,3083605,0,0,0,0,0,521154615.1,0,0,-37189
1988,ALB,Albania,0,Upper middle income,Europe & Central Asia,3142336,0,0,0,0,0,521154615.1,0,0,-42393
1989,ALB,Albania,0,Upper middle income,Europe & Central Asia,3227943,0,0,0,0,0,521154615.1,0,0,-48054
1990,ALB,Albania,0,Upper middle income,Europe & Central Asia,3286542,0,0,0,0,0,521154615.1,0,0,-52723
1991,ALB,Albania,0,Upper middle income,Europe & Central Asia,3266790,0,0,0,0,0,521154615.1,10.307,0,-56599
1992,ALB,Albania,23.27596153,Upper middle income,Europe & Central Asia,3247039,0,0,46.75028541,151800000,6521749.909,521154615.1,30.015,19.708,-59634
1993,ALB,Albania,28.00942102,Upper middle income,Europe & Central Asia,3227287,118.7088274,0,102.8727845,332000000,11853154.69,521154615.1,25.258,-4.757,-61925
1994,ALB,Albania,16.32684866,Upper middle income,Europe & Central Asia,3207536,-7.5,0,95.74327459,307100000,18809508.58,521154615.1,20.84,-4.418,-63700
1995,ALB,Albania,17.85800219,Upper middle income,Europe & Central Asia,3187784,39.14034516,0,134.042959,427300000,23927648.54,521154615.1,14.611,-6.229,-65106
1996,ALB,Albania,17.21755753,Upper middle income,Europe & Central Asia,3168033,28.92581325,0,173.8933906,550900000,31996408.26,521154615.1,13.931,-0.68,-65800
1997,ALB,Albania,13.29635342,Upper middle income,Europe & Central Asia,3148281,-45.48919949,0,95.3853865,300300000,22585139.74,521154615.1,16.876,2.945,-65975
1998,ALB,Albania,19.80153266,Upper middle income,Europe & Central Asia,3128530,67.87878788,0,161.1427731,504140000,25459645.41,521154615.1,20.047,3.171,-65616
1999,ALB,Albania,12.6769794,Upper middle income,Europe & Central Asia,3108778,-19.22878565,0,130.9839429,407200000,32121216.51,521154615.1,20.84,0.793,-64787
2000,ALB,Albania,17.17640745,Upper middle income,Europe & Central Asia,3089027,46.80746562,0,193.5237212,597800000,34803552.59,521154615.1,19.028,-1.812,-63610
2001,ALB,Albania,17.82973046,Upper middle income,Europe & Central Asia,3060173,16.97892272,0,228.5164924,699300000,39221007.94,521154615.1,18.575,-0.453,-62059
2002,ALB,Albania,16.87117035,Upper middle income,Europe & Central Asia,3051010,4.900614901,0,240.4351346,733570000,43480682.42,521154615.1,17.895,-0.68,-59876
2003,ALB,Albania,15.83799653,Upper middle income,Europe & Central Asia,3039616,21.15388883,4135728.07,292.3884406,888748582.3,56114962.56,521154615.1,16.989,-0.906,-57308
2004,ALB,Albania,16.15480677,Upper middle income,Europe & Central Asia,3026939,30.59622576,4863740.36,383.4474712,1160672105,71846857.81,521154615.1,16.31,-0.679,-54383
2005,ALB,Albania,16.01703861,Upper middle income,Europe & Central Asia,3011487,11.11702525,6511798.046,428.2616249,1289704316,80520772.12,521154615.1,15.97,-0.34,-50855
2006,ALB,Albania,15.28165315,Upper middle income,Europe & Central Asia,2992547,5.409225055,26532132.03,454.2843688,1359467325,88960749.97,521154615.1,15.63,-0.34,-47174
2007,ALB,Albania,13.74894946,Upper middle income,Europe & Central Asia,2970017,7.984941823,9940000,494.2799991,1468020000,106773248.7,521154615.1,15.97,0.34,-43019
2008,ALB,Albania,14.48280768,Upper middle income,Europe & Central Asia,2947314,27.08148145,279685288.7,632.976861,1865581564,128813528.8,521154615.1,13.06,-2.91,-38736
2009,ALB,Albania,14.2616132,Upper middle income,Europe & Central Asia,2927519,-7.926941113,229819782.3,586.7418835,1717698012,120442055.7,521154615.1,13.67,0.61,-34116
2010,ALB,Albania,13.30245685,Upper middle income,Europe & Central Asia,2913021,-7.633689978,209306821.6,544.6491017,1586574271,119269266.5,521154615.1,14.09,0.42,-29330
2011,ALB,Albania,12.04024031,Upper middle income,Europe & Central Asia,2905195,-2.174228943,150855105.3,534.2424567,1552078514,128907602.7,521154615.1,13.48,-0.61,-24465
2012,ALB,Albania,11.52428262,Upper middle income,Europe & Central Asia,2900401,-8.524439827,215775643.9,489.509042,1419772515,123198342.3,521154615.1,13.38,-0.1,-19946
2013,ALB,Albania,10.0330744,Upper middle income,Europe & Central Asia,2895092,-9.714542262,190551293.6,442.7659342,1281848114,127762245.4,521154615.1,15.87,2.49,-16845
2014,ALB,Albania,10.74230124,Upper middle income,Europe & Central Asia,2889104,10.85614891,178722842.2,491.8505717,1421007454,132281475.1,521154615.1,18.05,2.18,-14265
2015,ALB,Albania,11.33643766,Upper middle income,Europe & Central Asia,2880703,-9.158568847,153312400.5,448.1071141,1290863508,113868531.4,521154615.1,17.19,-0.86,-12240
2016,ALB,Albania,11.01076776,Upper middle income,Europe & Central Asia,2876101,1.173296705,147156757.4,454.0901613,1306009167,118611998.3,521154615.1,15.42,-1.77,-10887
2017,ALB,Albania,10.07565298,Upper middle income,Europe & Central Asia,2873457,0.445116707,106330982.9,456.5310816,1311822432,130197262.1,521154615.1,13.62,-1.8,-9768
2018,ALB,Albania,9.621069257,Upper middle income,Europe & Central Asia,2866376,11.15910358,114879336.9,508.7295093,1458210056,151564240.6,521154615.1,12.3,-1.32,-9106
2019,ALB,Albania,9.562581956,Upper middle income,Europe & Central Asia,2854191,1.001377404,119679640.8,516.0174081,1472812242,154018260.8,521154615.1,11.47,-0.83,-8889
2020,ALB,Albania,9.668356595,Upper middle income,Europe & Central Asia,2837849,-0.463401227,124630375.7,516.583938,1465987212,151627342,521154615.1,13.067,1.597,-9117
2021,ALB,Albania,9.583389631,Upper middle income,Europe & Central Asia,2811666,17.2149323,140344309.7,611.1522201,1718355918,179305651.1,521154615.1,12.683,-0.384,-10612
2022,ALB,Albania,9.242857257,Upper middle income,Europe & Central Asia,2775634,1.564822382,149489653.2,628.7735112,1745245136,188820955.2,521154615.1,11.808,-0.875,0
1970,DZA,Algeria,4.338415406,Lower middle income,Middle East & North Africa,13795915,0,0,15.29438243,211000000,48635268.93,692382805.7,0,0,-37056
1971,DZA,Algeria,4.68763903,Lower middle income,Middle East & North Africa,14110271,12.79620853,0,16.86714593,238000000,50771827.45,692382805.7,0,0,-35129
1972,DZA,Algeria,3.354641451,Lower middle income,Middle East & North Africa,14439748,-4.621848739,0,15.72049595,227000000,67667440.27,692382805.7,0,0,-32867
1973,DZA,Algeria,2.583873093,Lower middle income,Middle East & North Africa,14786469,-0.881057269,0,15.2166146,225000000,87078580.06,692382805.7,0,0,-29960
1974,DZA,Algeria,1.529159447,Lower middle income,Middle East & North Africa,15153602,-10.22222222,0,13.33016401,202000000,132098716.3,692382805.7,0,0,-27618
1975,DZA,Algeria,1.709742159,Lower middle income,Middle East & North Africa,15724692,31.68316832,0,16.9160706,266000000,155579014.4,692382805.7,0,0,338533
1976,DZA,Algeria,1.438382978,Lower middle income,Middle East & North Africa,16500516,-4.135338346,0,15.45406216,255000000,177282409.4,692382805.7,0,0,340146
1977,DZA,Algeria,1.664114706,Lower middle income,Middle East & North Africa,17134192,36.8627451,83920974.73,20.368629,349000000,209721120,692382805.7,0,0,5348
1978,DZA,Algeria,1.490641315,Lower middle income,Middle East & North Africa,17632645,12.60744986,112963012.7,22.28820463,393000000,263644913.1,692382805.7,0,0,19312
1979,DZA,Algeria,1.254372641,Lower middle income,Middle East & North Africa,18166981,6.106870229,130798111,22.95373128,417000000,332437097.5,692382805.7,0,0,24300
1980,DZA,Algeria,0.958772112,Lower middle income,Middle East & North Africa,18739378,-2.637889688,164692703.2,21.66560704,406000000,423458291,692382805.7,0,0,29298
1981,DZA,Algeria,1.007923882,Lower middle income,Middle East & North Africa,19351357,10.09852217,149682266.2,23.09915527,447000000,443485870.3,692382805.7,0,0,34865
1982,DZA,Algeria,1.121503495,Lower middle income,Middle East & North Africa,20000096,13.42281879,126301345.8,25.34987832,507000000,452071707.5,692382805.7,0,0,41604
1983,DZA,Algeria,0.803256141,Lower middle income,Middle East & North Africa,20682111,-22.68244576,156824249.3,18.9535778,392000000,488013698.2,692382805.7,0,0,49152
1984,DZA,Algeria,0.612679505,Lower middle income,Middle East & North Africa,21393530,-16.07142857,141269714.4,15.37848125,329000000,536985483.1,692382805.7,0,0,56796
1985,DZA,Algeria,0.540233887,Lower middle income,Middle East & North Africa,22132905,-4.863221884,130872345,14.14183994,313000000,579378686.8,692382805.7,0,0,64927
1986,DZA,Algeria,0.562079901,Lower middle income,Middle East & North Africa,22882553,14.37699681,101439361.6,15.64510743,358000000,636920123.6,692382805.7,0,0,59893
1987,DZA,Algeria,0.729633674,Lower middle income,Middle East & North Africa,23586101,36.03351955,82272422.79,20.64775352,487000000,667458229.2,692382805.7,0,0,-18564
1988,DZA,Algeria,0.641400994,Lower middle income,Middle East & North Africa,24243018,-22.17659138,53256538.39,15.6333671,379000000,590894001.6,692382805.7,0,0,-18817
1989,DZA,Algeria,0.620116369,Lower middle income,Middle East & North Africa,24889507,-8.970976253,38377834.32,13.8612629,345000000,556347191,692382805.7,0,0,-19900
1990,DZA,Algeria,0.567298114,Lower middle income,Middle East & North Africa,25518074,2.028985507,31481969.04,13.7941445,352000000,620485052.4,692382805.7,0,0,-21641
1991,DZA,Algeria,2.821789156,Lower middle income,Middle East & North Africa,26133905,266.4772727,22032304.12,49.36116512,1290000000,457156764.3,692382805.7,20.6,0,-23561
1992,DZA,Algeria,2.895644311,Lower middle income,Middle East & North Africa,26748303,7.751937984,0,51.9659135,1390000000,480031333.5,692382805.7,24.38,3.78,-25186
1993,DZA,Algeria,2.28248402,Lower middle income,Middle East & North Africa,27354327,-17.98561151,0,41.6753079,1140000000,499455851.6,692382805.7,26.23,1.85,-26202
1994,DZA,Algeria,3.279021684,Lower middle income,Middle East & North Africa,27937006,22.36842105,0,49.93376885,1395000000,425431770.3,692382805.7,27.74,1.51,-31916
1995,DZA,Algeria,2.681716719,Lower middle income,Middle East & North Africa,28478022,-19.71326165,0,39.32857415,1120000000,417642919.6,692382805.7,31.84,4.1,-28581
1996,DZA,Algeria,1.874671642,Lower middle income,Middle East & North Africa,28984634,-21.42857143,0,30.36091468,880000000,469415539.4,692382805.7,28.515,-3.325,-9849
1997,DZA,Algeria,2.200192071,Lower middle income,Middle East & North Africa,29476031,20.45454545,0,35.96142235,1060000000,481776120.4,692382805.7,25.43,-3.085,14071
1998,DZA,Algeria,2.199727737,Lower middle income,Middle East & North Africa,29924668,0,0,35.42228104,1060000000,481877817,692382805.7,26.64,1.21,-27387
1999,DZA,Algeria,1.624155201,Lower middle income,Middle East & North Africa,30346083,-25.47169811,0,26.03301388,790000000,486406717.5,692382805.7,28.304,1.664,-12084
2000,DZA,Algeria,1.441858459,Lower middle income,Middle East & North Africa,30774621,0,0,25.67050298,790000000,547903988.1,692382805.7,29.77,1.466,-18994
2001,DZA,Algeria,1.22386281,Lower middle income,Middle East & North Africa,31200985,-15.18987342,0,21.47368104,670000000,547446980.6,692382805.7,27.3,-2.47,-25798
2002,DZA,Algeria,1.885118554,Lower middle income,Middle East & North Africa,31624696,59.70149254,0,33.83431733,1070000000,567603558.8,692382805.7,25.9,-1.4,-36255
2003,DZA,Algeria,2.578692472,Lower middle income,Middle East & North Africa,32055883,63.55140187,0,54.59216332,1750000000,678638503.4,692382805.7,23.72,-2.18,-39330
2004,DZA,Algeria,2.88283791,Lower middle income,Middle East & North Africa,32510186,40.57142857,0,75.66859199,2460000000,853325811.9,692382805.7,17.65,-6.07,-38621
2005,DZA,Algeria,0.164731536,Lower middle income,Middle East & North Africa,32956690,-93.08943089,27000000,5.15828501,170000000,1031982122,692382805.7,15.27,-2.38,-111256
2006,DZA,Algeria,0.161500805,Lower middle income,Middle East & North Africa,33435080,11.17647059,35000000,5.652745559,189000000,1170272805,692382805.7,12.27,-3,-32745
2007,DZA,Algeria,0.073349165,Lower middle income,Middle East & North Africa,33983827,-47.61663315,48863732.65,2.913284703,99004563.35,1349770830,692382805.7,13.79,1.52,-37062
2008,DZA,Algeria,0.060603195,Lower middle income,Middle East & North Africa,34569592,4.673849056,26782545.16,2.997775826,103631887.2,1710006992,692382805.7,11.33,-2.46,-33931
2009,DZA,Algeria,0.109566257,Lower middle income,Middle East & North Africa,35196037,45.06824643,45702405.84,4.271417305,150336961.5,1372110042,692382805.7,10.16,-1.17,-33857
2010,DZA,Algeria,0.121948125,Lower middle income,Middle East & North Africa,35856344,30.7657718,27971375.75,5.482691933,196589288,1612073068,692382805.7,9.96,-0.2,-33071
2011,DZA,Algeria,0.101428266,Lower middle income,Middle East & North Africa,36543541,3.194745891,30901604.94,5.551454803,202869816.2,2000130971,692382805.7,9.96,0,-34829
2012,DZA,Algeria,0.102765815,Lower middle income,Middle East & North Africa,37260563,5.901051534,44242618.92,5.765915791,214841268.6,2090590812,692382805.7,10.97,1.01,-35119
2013,DZA,Algeria,0.099926791,Lower middle income,Middle East & North Africa,38000626,-2.438928626,38715810.2,5.515736593,209601443.4,2097550029,692382805.7,9.82,-1.15,-35412
2014,DZA,Algeria,1.147019708,Lower middle income,Middle East & North Africa,38760168,1070.050443,295922112.1,63.27223909,2452442617,2138099808,692382805.7,10.21,0.39,-36088
2015,DZA,Algeria,1.203399682,Lower middle income,Middle East & North Africa,39543154,-18.55493604,72128990.59,50.51173859,1997393458,1659792243,692382805.7,11.21,1,-36371
2016,DZA,Algeria,1.242873986,Lower middle income,Middle East & North Africa,40339329,-0.419039172,76633496.32,49.30730496,1989023597,1600342126,692382805.7,10.2,-1.01,-36227
2017,DZA,Algeria,1.053450201,Lower middle income,Middle East & North Africa,41136546,-9.911220978,214378056.7,43.55949265,1791887073,1700969890,692382805.7,10.334,0.134,-36448
2018,DZA,Algeria,1.134862664,Lower middle income,Middle East & North Africa,41927007,10.77698081,87006383.21,47.34414739,1984998399,1749108912,692382805.7,10.416,0.082,-36227
2019,DZA,Algeria,1.039727333,Lower middle income,Middle East & North Africa,42705368,-10.03324316,81545364.58,41.8176629,1785838683,1717602901,692382805.7,10.495,0.079,-36386
2020,DZA,Algeria,1.166162701,Lower middle income,Middle East & North Africa,43451666,-4.828529521,149253465.3,39.1149314,1699608935,1457437229,692382805.7,12.248,1.753,-18797
2021,DZA,Algeria,1.096307869,Lower middle income,Middle East & North Africa,44177969,5.445371585,83259319.41,40.56680281,1792158957,1634722333,692382805.7,11.747,-0.501,-18797
2022,DZA,Algeria,0.917252518,Lower middle income,Middle East & North Africa,44903225,-1.776245733,82202373.77,39.20265883,1760325810,1919128894,692382805.7,11.55,-0.197,0
1970,AND,Andorra,0,High income,Europe & Central Asia,19860,0,0,0,0,0,18608450.97,0,0,1132
1971,AND,Andorra,0,High income,Europe & Central Asia,21322,0,0,0,0,0,18608450.97,0,0,1163
1972,AND,Andorra,0,High income,Europe & Central Asia,22832,0,0,0,0,0,18608450.97,0,0,1180
1973,AND,Andorra,0,High income,Europe & Central Asia,24393,0,0,0,0,0,18608450.97,0,0,1208
1974,AND,Andorra,0,High income,Europe & Central Asia,26003,0,0,0,0,0,18608450.97,0,0,1223
1975,AND,Andorra,0,High income,Europe & Central Asia,27640,0,0,0,0,0,18608450.97,0,0,1235
1976,AND,Andorra,0,High income,Europe & Central Asia,29294,0,0,0,0,0,18608450.97,0,0,1294
1977,AND,Andorra,0,High income,Europe & Central Asia,30949,0,0,0,0,0,18608450.97,0,0,1294
1978,AND,Andorra,0,High income,Europe & Central Asia,32574,0,0,0,0,0,18608450.97,0,0,1278
1979,AND,Andorra,0,High income,Europe & Central Asia,34142,0,0,0,0,0,18608450.97,0,0,1210
1980,AND,Andorra,0,High income,Europe & Central Asia,35611,0,0,0,0,0,18608450.97,0,0,959
1981,AND,Andorra,0,High income,Europe & Central Asia,36987,0,0,0,0,0,18608450.97,0,0,931
1982,AND,Andorra,0,High income,Europe & Central Asia,38598,0,0,0,0,0,18608450.97,0,0,1387
1983,AND,Andorra,0,High income,Europe & Central Asia,40432,0,0,0,0,0,18608450.97,0,0,1386
1984,AND,Andorra,0,High income,Europe & Central Asia,42181,0,0,0,0,0,18608450.97,0,0,1389
1985,AND,Andorra,0,High income,Europe & Central Asia,43809,0,0,0,0,0,18608450.97,0,0,1219
1986,AND,Andorra,0,High income,Europe & Central Asia,45605,0,0,0,0,0,18608450.97,0,0,1678
1987,AND,Andorra,0,High income,Europe & Central Asia,47635,0,0,0,0,0,18608450.97,0,0,1710
1988,AND,Andorra,0,High income,Europe & Central Asia,49654,0,0,0,0,0,18608450.97,0,0,1662
1989,AND,Andorra,0,High income,Europe & Central Asia,51639,0,0,0,0,0,18608450.97,0,0,1616
1990,AND,Andorra,0,High income,Europe & Central Asia,53569,0,0,0,0,0,18608450.97,0,0,1589
1991,AND,Andorra,0,High income,Europe & Central Asia,55434,0,0,0,0,0,18608450.97,0,0,1501
1992,AND,Andorra,0,High income,Europe & Central Asia,57283,0,0,0,0,0,18608450.97,0,0,1446
1993,AND,Andorra,0,High income,Europe & Central Asia,59156,0,0,0,0,0,18608450.97,0,0,1530
1994,AND,Andorra,0,High income,Europe & Central Asia,61037,0,0,0,0,0,18608450.97,0,0,1474
1995,AND,Andorra,0,High income,Europe & Central Asia,62928,0,0,0,0,0,18608450.97,0,0,1588
1996,AND,Andorra,0,High income,Europe & Central Asia,64147,0,0,0,0,0,18608450.97,0,0,182
1997,AND,Andorra,0,High income,Europe & Central Asia,64682,0,0,0,0,0,18608450.97,0,0,140
1998,AND,Andorra,0,High income,Europe & Central Asia,65186,0,0,0,0,0,18608450.97,0,0,183
1999,AND,Andorra,0,High income,Europe & Central Asia,65655,0,0,0,0,0,18608450.97,0,0,39
2000,AND,Andorra,0,High income,Europe & Central Asia,66097,0,0,0,0,0,18608450.97,0,0,146
2001,AND,Andorra,0,High income,Europe & Central Asia,67820,0,0,0,0,0,18608450.97,0,0,2690
2002,AND,Andorra,0,High income,Europe & Central Asia,70849,0,0,0,0,0,18608450.97,0,0,2690
2003,AND,Andorra,0,High income,Europe & Central Asia,73907,0,0,0,0,0,18608450.97,0,0,2722
2004,AND,Andorra,0,High income,Europe & Central Asia,76933,0,0,0,0,0,18608450.97,0,0,2744
2005,AND,Andorra,0,High income,Europe & Central Asia,79826,0,0,0,0,0,18608450.97,0,0,2467
2006,AND,Andorra,0,High income,Europe & Central Asia,80221,0,0,0,0,0,18608450.97,0,0,-2420
2007,AND,Andorra,0,High income,Europe & Central Asia,78168,0,0,0,0,0,18608450.97,0,0,-2446
2008,AND,Andorra,0,High income,Europe & Central Asia,76055,0,0,0,0,0,18608450.97,0,0,-2584
2009,AND,Andorra,0,High income,Europe & Central Asia,73852,0,0,0,0,0,18608450.97,0,0,-2678
2010,AND,Andorra,0,High income,Europe & Central Asia,71519,0,0,0,0,0,18608450.97,0,0,-2864
2011,AND,Andorra,0,High income,Europe & Central Asia,70567,0,0,0,0,0,18608450.97,0,0,27
2012,AND,Andorra,0,High income,Europe & Central Asia,71013,0,0,0,0,0,18608450.97,0,0,33
2013,AND,Andorra,0,High income,Europe & Central Asia,71367,0,0,0,0,0,18608450.97,0,0,12
2014,AND,Andorra,0,High income,Europe & Central Asia,71621,0,0,0,0,0,18608450.97,0,0,-84
2015,AND,Andorra,0,High income,Europe & Central Asia,71746,0,0,0,0,0,18608450.97,0,0,-232
